episode - 0/10000, accumulative_reward = 0
episode - 1/10000, accumulative_reward = 64.98439846892757
episode - 2/10000, accumulative_reward = 1799.3130933713035
episode - 3/10000, accumulative_reward = 1393.7367769485543
episode - 4/10000, accumulative_reward = 4574.923627118553
episode - 5/10000, accumulative_reward = 3940.7125221729348
episode - 6/10000, accumulative_reward = 3903.6062945725557
episode - 7/10000, accumulative_reward = 3369.362578687169
episode - 8/10000, accumulative_reward = 831.6671798284929
episode - 9/10000, accumulative_reward = 705.7610843614456
episode - 10/10000, accumulative_reward = -629.8032317910141
episode - 11/10000, accumulative_reward = -1673.2748121267673
episode - 12/10000, accumulative_reward = 72.1547857579028
episode - 13/10000, accumulative_reward = 1097.9863049684811
episode - 14/10000, accumulative_reward = 1731.0629872761979
episode - 15/10000, accumulative_reward = 1441.6309501095202
episode - 16/10000, accumulative_reward = 85.90313053029377
episode - 17/10000, accumulative_reward = -450.4669369822361
episode - 18/10000, accumulative_reward = 217.20654055737396
episode - 19/10000, accumulative_reward = -659.6355904152699
episode - 20/10000, accumulative_reward = -1670.4149126945003
episode - 21/10000, accumulative_reward = -2019.3242630437708
episode - 22/10000, accumulative_reward = -1871.4210299964395
episode - 23/10000, accumulative_reward = -1380.7467876392577
episode - 24/10000, accumulative_reward = -301.83634355831896
episode - 25/10000, accumulative_reward = 94.43236572168075
episode - 26/10000, accumulative_reward = 489.2908661455973
episode - 27/10000, accumulative_reward = 1253.2196028481926
episode - 28/10000, accumulative_reward = 1643.9978721881153
episode - 29/10000, accumulative_reward = 3031.6208370639974
episode - 30/10000, accumulative_reward = 4122.275733921021
episode - 31/10000, accumulative_reward = 6090.060129392288
episode - 32/10000, accumulative_reward = 7059.75994075355
episode - 33/10000, accumulative_reward = 5949.917768806818
episode - 34/10000, accumulative_reward = 6837.446802540859
episode - 35/10000, accumulative_reward = 7283.444699454198
episode - 36/10000, accumulative_reward = 8404.011145379143
episode - 37/10000, accumulative_reward = 8796.431240747095
episode - 38/10000, accumulative_reward = 10135.771810410375
episode - 39/10000, accumulative_reward = 11149.811407749195
episode - 40/10000, accumulative_reward = 12447.256578943305
episode - 41/10000, accumulative_reward = 13609.156926759917
episode - 42/10000, accumulative_reward = 14394.230202639457
episode - 43/10000, accumulative_reward = 16790.851207742082
episode - 44/10000, accumulative_reward = 18048.347801176085
episode - 45/10000, accumulative_reward = 17143.68440163889
episode - 46/10000, accumulative_reward = 18823.277958189778
episode - 47/10000, accumulative_reward = 19587.765431067808
episode - 48/10000, accumulative_reward = 20377.698581496476
episode - 49/10000, accumulative_reward = 21037.35521918493
episode - 50/10000, accumulative_reward = 21310.66206940867
episode - 51/10000, accumulative_reward = 23635.171358586158
episode - 52/10000, accumulative_reward = 24454.95384383152
episode - 53/10000, accumulative_reward = 24900.06220293637
episode - 54/10000, accumulative_reward = 25895.986434151127
episode - 55/10000, accumulative_reward = 27493.445485878863
episode - 56/10000, accumulative_reward = 27034.038769607156
episode - 57/10000, accumulative_reward = 28413.254356221736
episode - 58/10000, accumulative_reward = 29518.87814250718
episode - 59/10000, accumulative_reward = 30775.137913216047
episode - 60/10000, accumulative_reward = 31298.5755452422
episode - 61/10000, accumulative_reward = 32264.29493375677
episode - 62/10000, accumulative_reward = 33219.39433078579
episode - 63/10000, accumulative_reward = 34167.900536475696
episode - 64/10000, accumulative_reward = 35448.05990012205
episode - 65/10000, accumulative_reward = 36708.35924459538
episode - 66/10000, accumulative_reward = 35565.65967352001
episode - 67/10000, accumulative_reward = 37374.159271843404
episode - 68/10000, accumulative_reward = 38301.8731252122
episode - 69/10000, accumulative_reward = 40218.66745258931
episode - 70/10000, accumulative_reward = 41204.93116025617
episode - 71/10000, accumulative_reward = 42195.60240450729
episode - 72/10000, accumulative_reward = 42902.81493650227
episode - 73/10000, accumulative_reward = 44061.56812758002
episode - 74/10000, accumulative_reward = 44629.21281598436
episode - 75/10000, accumulative_reward = 46898.07684093388
episode - 76/10000, accumulative_reward = 48494.721687988436
episode - 77/10000, accumulative_reward = 49268.90334712806
episode - 78/10000, accumulative_reward = 50841.152068852985
episode - 79/10000, accumulative_reward = 51686.88419500404
episode - 80/10000, accumulative_reward = 52706.56403186603
episode - 81/10000, accumulative_reward = 52927.76478994469
episode - 82/10000, accumulative_reward = 52400.80134062846
episode - 83/10000, accumulative_reward = 54490.593706217645
episode - 84/10000, accumulative_reward = 56211.105371898964
episode - 85/10000, accumulative_reward = 56549.26859412809
episode - 86/10000, accumulative_reward = 56806.59710512681
episode - 87/10000, accumulative_reward = 57671.396423099315
episode - 88/10000, accumulative_reward = 58273.0246724724
episode - 89/10000, accumulative_reward = 59691.96096786482
episode - 90/10000, accumulative_reward = 60702.406328116456
episode - 91/10000, accumulative_reward = 61505.44536999273
episode - 92/10000, accumulative_reward = 63300.152706089044
episode - 93/10000, accumulative_reward = 65210.753990453595
episode - 94/10000, accumulative_reward = 65663.48250782336
episode - 95/10000, accumulative_reward = 66091.67603724918
episode - 96/10000, accumulative_reward = 67346.19261134192
episode - 97/10000, accumulative_reward = 68667.73701428008
episode - 98/10000, accumulative_reward = 70440.65734988276
episode - 99/10000, accumulative_reward = 70057.05982257548
episode - 100/10000, accumulative_reward = 70356.67495222359
episode - 101/10000, accumulative_reward = 73935.07474343613
episode - 102/10000, accumulative_reward = 75422.23281804727
episode - 103/10000, accumulative_reward = 76270.01273770942
episode - 104/10000, accumulative_reward = 76782.68008418131
episode - 105/10000, accumulative_reward = 79097.00968511654
episode - 106/10000, accumulative_reward = 78935.55760070187
episode - 107/10000, accumulative_reward = 79318.12019153335
episode - 108/10000, accumulative_reward = 79406.12201361572
episode - 109/10000, accumulative_reward = 81552.31975270795
episode - 110/10000, accumulative_reward = 82136.15810437495
episode - 111/10000, accumulative_reward = 83808.62022462083
episode - 112/10000, accumulative_reward = 84736.55728556788
episode - 113/10000, accumulative_reward = 86201.81400711597
episode - 114/10000, accumulative_reward = 86437.35054221879
episode - 115/10000, accumulative_reward = 87850.95997751737
episode - 116/10000, accumulative_reward = 88930.37299791476
episode - 117/10000, accumulative_reward = 90666.76956967545
episode - 118/10000, accumulative_reward = 91020.41270855846
episode - 119/10000, accumulative_reward = 90102.1994126092
episode - 120/10000, accumulative_reward = 91347.5386184261
episode - 121/10000, accumulative_reward = 91881.97985761169
episode - 122/10000, accumulative_reward = 93748.89054994589
episode - 123/10000, accumulative_reward = 93841.2095526583
episode - 124/10000, accumulative_reward = 95121.41648191966
episode - 125/10000, accumulative_reward = 96290.92934027569
episode - 126/10000, accumulative_reward = 96926.91006005714
episode - 127/10000, accumulative_reward = 98965.08846546427
episode - 128/10000, accumulative_reward = 98582.50466854751
episode - 129/10000, accumulative_reward = 100858.52834546591
episode - 130/10000, accumulative_reward = 101475.67068623476
episode - 131/10000, accumulative_reward = 102108.31482947528
episode - 132/10000, accumulative_reward = 100928.83844887903
episode - 133/10000, accumulative_reward = 101045.87522176666
episode - 134/10000, accumulative_reward = 102742.16351478903
episode - 135/10000, accumulative_reward = 103751.79577889408
episode - 136/10000, accumulative_reward = 104134.47184626864
episode - 137/10000, accumulative_reward = 105708.02094895086
episode - 138/10000, accumulative_reward = 105813.00288246595
episode - 139/10000, accumulative_reward = 107013.69676137865
episode - 140/10000, accumulative_reward = 107516.96974925105
episode - 141/10000, accumulative_reward = 108552.96944397739
episode - 142/10000, accumulative_reward = 110298.23730700776
episode - 143/10000, accumulative_reward = 111208.31140341982
episode - 144/10000, accumulative_reward = 111841.89101648048
episode - 145/10000, accumulative_reward = 112479.14178764401
episode - 146/10000, accumulative_reward = 114769.79097363881
episode - 147/10000, accumulative_reward = 116640.1169972062
episode - 148/10000, accumulative_reward = 117831.23877735766
episode - 149/10000, accumulative_reward = 118329.90872453469
episode - 150/10000, accumulative_reward = 120126.24010821531
episode - 151/10000, accumulative_reward = 121548.9136771828
episode - 152/10000, accumulative_reward = 121641.04072229817
episode - 153/10000, accumulative_reward = 124163.62996737358
episode - 154/10000, accumulative_reward = 124978.83297089249
episode - 155/10000, accumulative_reward = 126090.48166104291
episode - 156/10000, accumulative_reward = 128273.2738671787
episode - 157/10000, accumulative_reward = 129165.48351662546
