episode - 0/10000, epsilon = 0.9831353223738244
episode - 1/10000, epsilon = 0.9665550620990835
episode - 2/10000, epsilon = 0.9502544225688344
episode - 3/10000, epsilon = 0.9342286880693633
episode - 4/10000, epsilon = 0.9184732224159486
episode - 5/10000, epsilon = 0.9029834676116293
episode - 6/10000, epsilon = 0.887754942528593
episode - 7/10000, epsilon = 0.8727832416118043
episode - 8/10000, epsilon = 0.8615048875706075
episode - 9/10000, epsilon = 0.8469758853683546
episode - 10/10000, epsilon = 0.8326919101044725
episode - 11/10000, epsilon = 0.818648829478636
episode - 12/10000, epsilon = 0.8048425808804326
episode - 13/10000, epsilon = 0.7912691702140651
episode - 14/10000, epsilon = 0.7779246707428734
episode - 15/10000, epsilon = 0.764805221953346
episode - 16/10000, epsilon = 0.7519070284382872
episode - 17/10000, epsilon = 0.7392263587988196
episode - 18/10000, epsilon = 0.7267595445649057
episode - 19/10000, epsilon = 0.7145029791340722
episode - 20/10000, epsilon = 0.7024531167280339
episode - 21/10000, epsilon = 0.6906064713669134
episode - 22/10000, epsilon = 0.6789596158607596
episode - 23/10000, epsilon = 0.6675091808180759
episode - 24/10000, epsilon = 0.6562518536710664
episode - 25/10000, epsilon = 0.6451843777173236
episode - 26/10000, epsilon = 0.6343035511776761
episode - 27/10000, epsilon = 0.623606226269926
episode - 28/10000, epsilon = 0.6130893082982078
episode - 29/10000, epsilon = 0.6027497547577038
episode - 30/10000, epsilon = 0.5925845744544587
episode - 31/10000, epsilon = 0.5825908266400397
episode - 32/10000, epsilon = 0.572765620160788
episode - 33/10000, epsilon = 0.5631061126214196
episode - 34/10000, epsilon = 0.5536095095627305
episode - 35/10000, epsilon = 0.54427306365317
episode - 36/10000, epsilon = 0.5350940738940482
episode - 37/10000, epsilon = 0.5260698848381481
episode - 38/10000, epsilon = 0.5171978858215134
episode - 39/10000, epsilon = 0.5094939886915886
episode - 40/10000, epsilon = 0.5009015368198305
episode - 41/10000, epsilon = 0.49245399387890804
episode - 42/10000, epsilon = 0.4841489160264175
episode - 43/10000, epsilon = 0.47884982641548285
episode - 44/10000, epsilon = 0.47077417846163544
episode - 45/10000, epsilon = 0.46283472370715234
episode - 46/10000, epsilon = 0.45502916529763104
episode - 47/10000, epsilon = 0.44735524511437874
episode - 48/10000, epsilon = 0.43981074312114604
episode - 49/10000, epsilon = 0.43239347672187917
episode - 50/10000, epsilon = 0.4251013001293033
episode - 51/10000, epsilon = 0.4179321037441544
episode - 52/10000, epsilon = 0.41088381354487985
episode - 53/10000, epsilon = 0.4039543904876318
episode - 54/10000, epsilon = 0.3971418299163796
episode - 55/10000, epsilon = 0.3904441609829703
episode - 56/10000, epsilon = 0.3838594460769699
episode - 57/10000, epsilon = 0.37814168549442284
episode - 58/10000, epsilon = 0.3717644478715407
episode - 59/10000, epsilon = 0.3654947603053141
episode - 60/10000, epsilon = 0.3593308089987087
episode - 61/10000, epsilon = 0.35327081074379274
episode - 62/10000, epsilon = 0.34731301240586104
episode - 63/10000, epsilon = 0.34282493457591334
episode - 64/10000, epsilon = 0.3370433025720758
episode - 65/10000, epsilon = 0.33135917592813624
episode - 66/10000, epsilon = 0.325770910247633
episode - 67/10000, epsilon = 0.3225278218119384
episode - 68/10000, epsilon = 0.31708849407160733
episode - 69/10000, epsilon = 0.3117408988401202
episode - 70/10000, epsilon = 0.3064834890782873
episode - 71/10000, epsilon = 0.3013147438372364
episode - 72/10000, epsilon = 0.29623316781840775
episode - 73/10000, epsilon = 0.2912372909409696
episode - 74/10000, epsilon = 0.28632566791652947
episode - 75/10000, epsilon = 0.28149687783101773
episode - 76/10000, epsilon = 0.2767495237336227
episode - 77/10000, epsilon = 0.2720822322326576
episode - 78/10000, epsilon = 0.2674936530982436
episode - 79/10000, epsilon = 0.2629824588716937
episode - 80/10000, epsilon = 0.2585473444814836
episode - 81/10000, epsilon = 0.25571750122102316
episode - 82/10000, epsilon = 0.2524130467175491
episode - 83/10000, epsilon = 0.2481561820560168
episode - 84/10000, epsilon = 0.24494943707593364
episode - 85/10000, epsilon = 0.24081844378493483
episode - 86/10000, epsilon = 0.23675711836406457
episode - 87/10000, epsilon = 0.23440017288955545
episode - 88/10000, epsilon = 0.23044708953825319
episode - 89/10000, epsilon = 0.22656067366330018
episode - 90/10000, epsilon = 0.22273980093919937
episode - 91/10000, epsilon = 0.21898336600184118
episode - 92/10000, epsilon = 0.21529028212872525
episode - 93/10000, epsilon = 0.2116594809245759
episode - 94/10000, epsilon = 0.20808991201225926
episode - 95/10000, epsilon = 0.2045805427289133
episode - 96/10000, epsilon = 0.20113035782720212
episode - 97/10000, epsilon = 0.19873002398761402
episode - 98/10000, epsilon = 0.19537850619842073
episode - 99/10000, epsilon = 0.1920835106763006
episode - 100/10000, epsilon = 0.18884408419144066
episode - 101/10000, epsilon = 0.18565928958994166
episode - 102/10000, epsilon = 0.18252820552270246
episode - 103/10000, epsilon = 0.17944992617887773
episode - 104/10000, epsilon = 0.17642356102382997
episode - 105/10000, epsilon = 0.17362185639789907
episode - 106/10000, epsilon = 0.17069377976089034
episode - 107/10000, epsilon = 0.16781508419242955
episode - 108/10000, epsilon = 0.16548088326935384
episode - 109/10000, epsilon = 0.16399749875216288
episode - 110/10000, epsilon = 0.16123173380420852
episode - 111/10000, epsilon = 0.15962665258019765
episode - 112/10000, epsilon = 0.15787951258191282
episode - 113/10000, epsilon = 0.15521692549844113
episode - 114/10000, epsilon = 0.15259924208778378
episode - 115/10000, epsilon = 0.15002570506397447
episode - 116/10000, epsilon = 0.14749556991243082
episode - 117/10000, epsilon = 0.1461734072526738
episode - 118/10000, epsilon = 0.14370823986183776
episode - 119/10000, epsilon = 0.14128464672434274
episode - 120/10000, epsilon = 0.13890192670380855
episode - 121/10000, epsilon = 0.1365593904882941
episode - 122/10000, epsilon = 0.13533526065815754
episode - 123/10000, epsilon = 0.13305287511570327
episode - 124/10000, epsilon = 0.1318601779834725
episode - 125/10000, epsilon = 0.12963639859005108
episode - 126/10000, epsilon = 0.12745012251921148
episode - 127/10000, epsilon = 0.12530071728950842
episode - 128/10000, epsilon = 0.12417751115023712
episode - 129/10000, epsilon = 0.12208329745626752
episode - 130/10000, epsilon = 0.12002440200112709
episode - 131/10000, epsilon = 0.11894849319464719
episode - 132/10000, epsilon = 0.1169424652028001
episode - 133/10000, epsilon = 0.11497026822634461
episode - 134/10000, epsilon = 0.11303133171611239
episode - 135/10000, epsilon = 0.1116823909923804
episode - 136/10000, epsilon = 0.10990881228405747
episode - 137/10000, epsilon = 0.10805523559661097
episode - 138/10000, epsilon = 0.10623291888245365
episode - 139/10000, epsilon = 0.10528063808739813
episode - 140/10000, epsilon = 0.10350511406577606
episode - 141/10000, epsilon = 0.1017595336843962
episode - 142/10000, epsilon = 0.1005451130725997
episode - 143/10000, epsilon = 0.09884945215374291
episode - 144/10000, epsilon = 0.09718238800964597
episode - 145/10000, epsilon = 0.09631123693243965
episode - 146/10000, epsilon = 0.09468697896979585
episode - 147/10000, epsilon = 0.093838196948523
episode - 148/10000, epsilon = 0.09225564600796458
episode - 149/10000, epsilon = 0.09142865865928752
episode - 150/10000, epsilon = 0.08988674380520499
episode - 151/10000, epsilon = 0.08845929214020377
episode - 152/10000, epsilon = 0.08696745469521953
episode - 153/10000, epsilon = 0.08592956600102684
episode - 154/10000, epsilon = 0.08507412687796226
episode - 155/10000, epsilon = 0.08431151526911018
episode - 156/10000, epsilon = 0.08288962874392225
episode - 157/10000, epsilon = 0.08149172187660261
episode - 158/10000, epsilon = 0.08011739025795171
episode - 159/10000, epsilon = 0.07939921125190336
episode - 160/10000, epsilon = 0.07853017381004652
episode - 161/10000, epsilon = 0.07720578774481256
episode - 162/10000, epsilon = 0.07590373702362134
episode - 163/10000, epsilon = 0.07462364496809594
episode - 164/10000, epsilon = 0.07395471235560894
episode - 165/10000, epsilon = 0.07270748997279504
episode - 166/10000, epsilon = 0.07148130159339547
