episode - 0/10000, loss = 7003.87744140625
episode - 1/10000, loss = 88.10340118408203
episode - 2/10000, loss = 5627.1171875
episode - 3/10000, loss = 3328.242431640625
episode - 4/10000, loss = 1035.25146484375
episode - 5/10000, loss = 2661.682373046875
episode - 6/10000, loss = 0.5712772607803345
episode - 7/10000, loss = 12.522263526916504
episode - 8/10000, loss = 83.34835052490234
episode - 9/10000, loss = 169.5850830078125
episode - 10/10000, loss = 267.8376159667969
episode - 11/10000, loss = 3.6181280612945557
episode - 12/10000, loss = 48.73727798461914
episode - 13/10000, loss = 33.25554275512695
episode - 14/10000, loss = 0.019276468083262444
episode - 15/10000, loss = 42.164249420166016
episode - 16/10000, loss = 68.07572174072266
episode - 17/10000, loss = 89.49143981933594
episode - 18/10000, loss = 23.499622344970703
episode - 19/10000, loss = 74.6639633178711
episode - 20/10000, loss = 0.5428197383880615
episode - 21/10000, loss = 58.07659149169922
episode - 22/10000, loss = 32.85628890991211
episode - 23/10000, loss = 94.96002197265625
episode - 24/10000, loss = 547.1052856445312
episode - 25/10000, loss = 554.6339111328125
episode - 26/10000, loss = 51.58615493774414
episode - 27/10000, loss = 99.17210388183594
episode - 28/10000, loss = 10.199883460998535
episode - 29/10000, loss = 116.09326171875
episode - 30/10000, loss = 96.38700103759766
episode - 31/10000, loss = 77.37024688720703
episode - 32/10000, loss = 95.92256164550781
episode - 33/10000, loss = 309.97296142578125
episode - 34/10000, loss = 265.9516906738281
episode - 35/10000, loss = 85.15240478515625
episode - 36/10000, loss = 93.43038177490234
episode - 37/10000, loss = 51.36511993408203
episode - 38/10000, loss = 22.500898361206055
episode - 39/10000, loss = 257.6990966796875
episode - 40/10000, loss = 3.5871386528015137
episode - 41/10000, loss = 0.07505205273628235
episode - 42/10000, loss = 21.055076599121094
episode - 43/10000, loss = 190.16160583496094
episode - 44/10000, loss = 72.78756713867188
episode - 45/10000, loss = 28.553789138793945
episode - 46/10000, loss = 40.511741638183594
episode - 47/10000, loss = 53.10507583618164
episode - 48/10000, loss = 230.74429321289062
episode - 49/10000, loss = 4.6068220138549805
episode - 50/10000, loss = 82.11272430419922
episode - 51/10000, loss = 63.067630767822266
episode - 52/10000, loss = 171.7073211669922
episode - 53/10000, loss = 13.244874954223633
episode - 54/10000, loss = 104.45653533935547
episode - 55/10000, loss = 146.20066833496094
episode - 56/10000, loss = 113.99983978271484
episode - 57/10000, loss = 93.89126586914062
episode - 58/10000, loss = 6.755787372589111
episode - 59/10000, loss = 544.5823364257812
episode - 60/10000, loss = 5.230799674987793
episode - 61/10000, loss = 57.27244186401367
episode - 62/10000, loss = 33.33064270019531
episode - 63/10000, loss = 78.77348327636719
episode - 64/10000, loss = 20.95601463317871
episode - 65/10000, loss = 75.21703338623047
episode - 66/10000, loss = 75.10881805419922
episode - 67/10000, loss = 31.545339584350586
episode - 68/10000, loss = 32.60391616821289
episode - 69/10000, loss = 28.006393432617188
episode - 70/10000, loss = 4.152550220489502
episode - 71/10000, loss = 43.70048141479492
episode - 72/10000, loss = 77.60234832763672
episode - 73/10000, loss = 11.100919723510742
episode - 74/10000, loss = 51.85424041748047
episode - 75/10000, loss = 24.328981399536133
episode - 76/10000, loss = 87.04857635498047
episode - 77/10000, loss = 69.70336151123047
episode - 78/10000, loss = 109.85198211669922
episode - 79/10000, loss = 1.2650586366653442
episode - 80/10000, loss = 42.44670867919922
episode - 81/10000, loss = 48.820987701416016
episode - 82/10000, loss = 56.33620834350586
episode - 83/10000, loss = 60.40996170043945
episode - 84/10000, loss = 10.552386283874512
episode - 85/10000, loss = 20.915102005004883
episode - 86/10000, loss = 186.5021209716797
episode - 87/10000, loss = 39.53733825683594
episode - 88/10000, loss = 152.55958557128906
episode - 89/10000, loss = 680.4781494140625
episode - 90/10000, loss = 153.90179443359375
episode - 91/10000, loss = 138.91004943847656
episode - 92/10000, loss = 18.9016170501709
episode - 93/10000, loss = 42.8992919921875
episode - 94/10000, loss = 103.70791625976562
episode - 95/10000, loss = 106.0760726928711
episode - 96/10000, loss = 148.00933837890625
episode - 97/10000, loss = 179.6571807861328
episode - 98/10000, loss = 16.78816032409668
episode - 99/10000, loss = 33.8870964050293
episode - 100/10000, loss = 22.94498634338379
episode - 101/10000, loss = 11.182424545288086
episode - 102/10000, loss = 40.873348236083984
episode - 103/10000, loss = 85.54316711425781
episode - 104/10000, loss = 1.7348442077636719
episode - 105/10000, loss = 16.350284576416016
episode - 106/10000, loss = 22.762985229492188
episode - 107/10000, loss = 61.290889739990234
episode - 108/10000, loss = 4.091929912567139
episode - 109/10000, loss = 75.25091552734375
episode - 110/10000, loss = 40.038116455078125
episode - 111/10000, loss = 37.88663864135742
episode - 112/10000, loss = 1.8177199363708496
episode - 113/10000, loss = 16.48941993713379
episode - 114/10000, loss = 6.021603584289551
episode - 115/10000, loss = 5.429352760314941
episode - 116/10000, loss = 276.4194030761719
episode - 117/10000, loss = 31.058391571044922
episode - 118/10000, loss = 27.049728393554688
episode - 119/10000, loss = 13.31081771850586
episode - 120/10000, loss = 172.09263610839844
episode - 121/10000, loss = 9.451970100402832
episode - 122/10000, loss = 28.94658660888672
episode - 123/10000, loss = 0.04579956457018852
episode - 124/10000, loss = 2.034201145172119
episode - 125/10000, loss = 0.8714690804481506
episode - 126/10000, loss = 17.99602508544922
episode - 127/10000, loss = 66.43720245361328
episode - 128/10000, loss = 1.4317829608917236
episode - 129/10000, loss = 31.250213623046875
episode - 130/10000, loss = 7.522176265716553
episode - 131/10000, loss = 190.95602416992188
episode - 132/10000, loss = 184.16725158691406
episode - 133/10000, loss = 179.72427368164062
episode - 134/10000, loss = 355.8122863769531
episode - 135/10000, loss = 30.960973739624023
episode - 136/10000, loss = 1.3227229118347168
episode - 137/10000, loss = 36.491886138916016
episode - 138/10000, loss = 119.67613983154297
episode - 139/10000, loss = 14.835003852844238
episode - 140/10000, loss = 32.7904167175293
episode - 141/10000, loss = 6.537659645080566
episode - 142/10000, loss = 15.117912292480469
episode - 143/10000, loss = 242.4383087158203
episode - 144/10000, loss = 21.453975677490234
episode - 145/10000, loss = 5.801463603973389
episode - 146/10000, loss = 62.75278091430664
episode - 147/10000, loss = 8.39077091217041
episode - 148/10000, loss = 0.7421654462814331
episode - 149/10000, loss = 65.37794494628906
episode - 150/10000, loss = 3.094144105911255
episode - 151/10000, loss = 1.6277307271957397
episode - 152/10000, loss = 16.25051498413086
episode - 153/10000, loss = 31.442752838134766
episode - 154/10000, loss = 5.3553690910339355
episode - 155/10000, loss = 14.064373970031738
episode - 156/10000, loss = 2.8208119869232178
episode - 157/10000, loss = 18.33133888244629
episode - 158/10000, loss = 151.79620361328125
episode - 159/10000, loss = 0.9066302180290222
episode - 160/10000, loss = 249.19850158691406
episode - 161/10000, loss = 610.4165649414062
episode - 162/10000, loss = 165.50758361816406
episode - 163/10000, loss = 0.06578455120325089
episode - 164/10000, loss = 62.81498336791992
episode - 165/10000, loss = 0.0993371233344078
episode - 166/10000, loss = 7.524446964263916
episode - 167/10000, loss = 112.21444702148438
episode - 168/10000, loss = 86.40301513671875
episode - 169/10000, loss = 9.617276191711426
episode - 170/10000, loss = 122.61419677734375
episode - 171/10000, loss = 60.118507385253906
