episode - 0/40000, accumulative_reward = 0
episode - 1/40000, accumulative_reward = -64.5
episode - 2/40000, accumulative_reward = -152.0
episode - 3/40000, accumulative_reward = -170.5
episode - 4/40000, accumulative_reward = -160.5
episode - 5/40000, accumulative_reward = -135.5
episode - 6/40000, accumulative_reward = -109.0
episode - 7/40000, accumulative_reward = -160.5
episode - 8/40000, accumulative_reward = -156.5
episode - 9/40000, accumulative_reward = -179.5
episode - 10/40000, accumulative_reward = -192.0
episode - 11/40000, accumulative_reward = -197.0
episode - 12/40000, accumulative_reward = -185.5
episode - 13/40000, accumulative_reward = -258.0
episode - 14/40000, accumulative_reward = -251.0
episode - 15/40000, accumulative_reward = -253.0
episode - 16/40000, accumulative_reward = -204.0
episode - 17/40000, accumulative_reward = -228.5
episode - 18/40000, accumulative_reward = -230.5
episode - 19/40000, accumulative_reward = -256.0
episode - 20/40000, accumulative_reward = -241.5
episode - 21/40000, accumulative_reward = -237.5
episode - 22/40000, accumulative_reward = -245.5
episode - 23/40000, accumulative_reward = -226.5
episode - 24/40000, accumulative_reward = -246.5
episode - 25/40000, accumulative_reward = -296.5
episode - 26/40000, accumulative_reward = -271.5
episode - 27/40000, accumulative_reward = -264.5
episode - 28/40000, accumulative_reward = -300.5
episode - 29/40000, accumulative_reward = -188.5
episode - 30/40000, accumulative_reward = -193.5
episode - 31/40000, accumulative_reward = -195.5
episode - 32/40000, accumulative_reward = -136.0
episode - 33/40000, accumulative_reward = -117.0
episode - 34/40000, accumulative_reward = -90.5
episode - 35/40000, accumulative_reward = -109.0
episode - 36/40000, accumulative_reward = -127.5
episode - 37/40000, accumulative_reward = -111.5
episode - 38/40000, accumulative_reward = -103.0
episode - 39/40000, accumulative_reward = -93.0
episode - 40/40000, accumulative_reward = -90.5
episode - 41/40000, accumulative_reward = -26.5
episode - 42/40000, accumulative_reward = -67.5
episode - 43/40000, accumulative_reward = -53.0
episode - 44/40000, accumulative_reward = -20.5
episode - 45/40000, accumulative_reward = -69.0
episode - 46/40000, accumulative_reward = -35.0
episode - 47/40000, accumulative_reward = -76.0
