episode - 0/40000, loss = 39.20231246948242
episode - 1/40000, loss = 141.11375427246094
episode - 2/40000, loss = 53.86626434326172
episode - 3/40000, loss = 244.2446746826172
episode - 4/40000, loss = 43.537254333496094
episode - 5/40000, loss = 10.485032081604004
episode - 6/40000, loss = 17.45216941833496
episode - 7/40000, loss = 160.5460662841797
episode - 8/40000, loss = 0.30315661430358887
episode - 9/40000, loss = 1.5330045223236084
episode - 10/40000, loss = 4.7995405197143555
episode - 11/40000, loss = 39.634254455566406
episode - 12/40000, loss = 1.5231165885925293
episode - 13/40000, loss = 0.07382861524820328
episode - 14/40000, loss = 38.152748107910156
episode - 15/40000, loss = 48.64738464355469
episode - 16/40000, loss = 0.40527111291885376
episode - 17/40000, loss = 14.245316505432129
episode - 18/40000, loss = 18.81669044494629
episode - 19/40000, loss = 24.31665802001953
episode - 20/40000, loss = 126.86931610107422
episode - 21/40000, loss = 22.745071411132812
episode - 22/40000, loss = 9.770659446716309
episode - 23/40000, loss = 36.60209655761719
episode - 24/40000, loss = 23.054166793823242
episode - 25/40000, loss = 0.15285250544548035
episode - 26/40000, loss = 260.921142578125
episode - 27/40000, loss = 300.73382568359375
episode - 28/40000, loss = 1.1608823537826538
episode - 29/40000, loss = 0.01961698941886425
episode - 30/40000, loss = 12.295321464538574
episode - 31/40000, loss = 0.27068620920181274
episode - 32/40000, loss = 101.87289428710938
episode - 33/40000, loss = 213.99261474609375
episode - 34/40000, loss = 0.01790640316903591
episode - 35/40000, loss = 3.5264954566955566
episode - 36/40000, loss = 0.022588323801755905
episode - 37/40000, loss = 3.529066801071167
episode - 38/40000, loss = 88.01063537597656
episode - 39/40000, loss = 34.32215118408203
episode - 40/40000, loss = 2.274326801300049
episode - 41/40000, loss = 0.15388256311416626
episode - 42/40000, loss = 11.63019847869873
episode - 43/40000, loss = 11.010455131530762
episode - 44/40000, loss = 19.09539031982422
episode - 45/40000, loss = 5.978949069976807
episode - 46/40000, loss = 13.313692092895508
episode - 47/40000, loss = 112.35491180419922
episode - 48/40000, loss = 117.77698516845703
episode - 49/40000, loss = 260.8450927734375
episode - 50/40000, loss = 34.63414764404297
episode - 51/40000, loss = 0.0016427747905254364
episode - 52/40000, loss = 20.300912857055664
episode - 53/40000, loss = 1.1260329484939575
episode - 54/40000, loss = 85.27739715576172
episode - 55/40000, loss = 23.93852424621582
episode - 56/40000, loss = 47.27767562866211
episode - 57/40000, loss = 34.62907028198242
episode - 58/40000, loss = 201.1841278076172
episode - 59/40000, loss = 20.940990447998047
episode - 60/40000, loss = 261.4048156738281
episode - 61/40000, loss = 0.1981057971715927
episode - 62/40000, loss = 15.587699890136719
episode - 63/40000, loss = 3.090062379837036
episode - 64/40000, loss = 5.663972854614258
episode - 65/40000, loss = 11.667448997497559
episode - 66/40000, loss = 0.37643036246299744
episode - 67/40000, loss = 30.334842681884766
episode - 68/40000, loss = 22.53055763244629
episode - 69/40000, loss = 6.091386318206787
episode - 70/40000, loss = 34.50218963623047
episode - 71/40000, loss = 0.1801115870475769
episode - 72/40000, loss = 89.3324203491211
episode - 73/40000, loss = 22.204866409301758
episode - 74/40000, loss = 59.04209899902344
episode - 75/40000, loss = 535.9298095703125
episode - 76/40000, loss = 1.5673272609710693
episode - 77/40000, loss = 78.40208435058594
episode - 78/40000, loss = 1.8271775245666504
episode - 79/40000, loss = 8.019177436828613
episode - 80/40000, loss = 161.45606994628906
episode - 81/40000, loss = 3.0487618446350098
episode - 82/40000, loss = 2.887420415878296
episode - 83/40000, loss = 42.25373077392578
episode - 84/40000, loss = 114.83126068115234
episode - 85/40000, loss = 122.58045196533203
episode - 86/40000, loss = 2.0398130416870117
episode - 87/40000, loss = 42.54644775390625
episode - 88/40000, loss = 242.5453643798828
episode - 89/40000, loss = 21.669452667236328
episode - 90/40000, loss = 13.920019149780273
episode - 91/40000, loss = 32.850284576416016
episode - 92/40000, loss = 20.097326278686523
episode - 93/40000, loss = 3.569761276245117
episode - 94/40000, loss = 138.42601013183594
episode - 95/40000, loss = 17.727577209472656
episode - 96/40000, loss = 4.694100856781006
episode - 97/40000, loss = 65.9124526977539
episode - 98/40000, loss = 94.40945434570312
episode - 99/40000, loss = 21.99323844909668
episode - 100/40000, loss = 0.004693758208304644
episode - 101/40000, loss = 15.278709411621094
episode - 102/40000, loss = 67.71273803710938
episode - 103/40000, loss = 7.405541896820068
episode - 104/40000, loss = 0.6003059148788452
episode - 105/40000, loss = 6.967951774597168
episode - 106/40000, loss = 2.076516628265381
episode - 107/40000, loss = 15.575380325317383
episode - 108/40000, loss = 19.94257926940918
episode - 109/40000, loss = 87.17420959472656
episode - 110/40000, loss = 0.15478171408176422
episode - 111/40000, loss = 80.3717269897461
episode - 112/40000, loss = 19.58287239074707
episode - 113/40000, loss = 29.66244888305664
episode - 114/40000, loss = 1.5527828931808472
episode - 115/40000, loss = 7.101576805114746
episode - 116/40000, loss = 13.164579391479492
episode - 117/40000, loss = 0.8691399097442627
episode - 118/40000, loss = 49.978248596191406
episode - 119/40000, loss = 55.88688659667969
episode - 120/40000, loss = 0.05830884352326393
episode - 121/40000, loss = 43.35190200805664
episode - 122/40000, loss = 168.8695831298828
episode - 123/40000, loss = 27.747800827026367
episode - 124/40000, loss = 14.843890190124512
episode - 125/40000, loss = 5.888505458831787
episode - 126/40000, loss = 12.483376502990723
episode - 127/40000, loss = 10.12252140045166
episode - 128/40000, loss = 17.093278884887695
episode - 129/40000, loss = 47.33349609375
episode - 130/40000, loss = 56.58367919921875
episode - 131/40000, loss = 0.03594915196299553
episode - 132/40000, loss = 12.241662979125977
episode - 133/40000, loss = 25.499534606933594
episode - 134/40000, loss = 0.02161126583814621
episode - 135/40000, loss = 25.765056610107422
episode - 136/40000, loss = 61.391605377197266
episode - 137/40000, loss = 131.8393096923828
episode - 138/40000, loss = 33.61214065551758
episode - 139/40000, loss = 1.6703085899353027
episode - 140/40000, loss = 58.37807083129883
episode - 141/40000, loss = 26.943302154541016
episode - 142/40000, loss = 26.66579246520996
episode - 143/40000, loss = 19.895164489746094
episode - 144/40000, loss = 59.10570526123047
episode - 145/40000, loss = 1.5951945781707764
episode - 146/40000, loss = 15.512290954589844
episode - 147/40000, loss = 9.104856491088867
episode - 148/40000, loss = 24.260202407836914
episode - 149/40000, loss = 14.963716506958008
episode - 150/40000, loss = 54.56580352783203
episode - 151/40000, loss = 0.0957689881324768
episode - 152/40000, loss = 31.144519805908203
episode - 153/40000, loss = 9.178749084472656
