episode - 0/40000, reward_per_episode = 0
episode - 1/40000, reward_per_episode = -64.5
episode - 2/40000, reward_per_episode = -87.5
episode - 3/40000, reward_per_episode = -18.5
episode - 4/40000, reward_per_episode = 10.0
episode - 5/40000, reward_per_episode = 25.0
episode - 6/40000, reward_per_episode = 26.5
episode - 7/40000, reward_per_episode = -51.5
episode - 8/40000, reward_per_episode = 4.0
episode - 9/40000, reward_per_episode = -23.0
episode - 10/40000, reward_per_episode = -12.5
episode - 11/40000, reward_per_episode = -5.0
episode - 12/40000, reward_per_episode = 11.5
episode - 13/40000, reward_per_episode = -72.5
episode - 14/40000, reward_per_episode = 7.0
episode - 15/40000, reward_per_episode = -2.0
episode - 16/40000, reward_per_episode = 49.0
episode - 17/40000, reward_per_episode = -24.5
episode - 18/40000, reward_per_episode = -2.0
episode - 19/40000, reward_per_episode = -25.5
episode - 20/40000, reward_per_episode = 14.5
episode - 21/40000, reward_per_episode = 4.0
episode - 22/40000, reward_per_episode = -8.0
episode - 23/40000, reward_per_episode = 19.0
episode - 24/40000, reward_per_episode = -20.0
episode - 25/40000, reward_per_episode = -50.0
episode - 26/40000, reward_per_episode = 25.0
episode - 27/40000, reward_per_episode = 7.0
episode - 28/40000, reward_per_episode = -36.0
episode - 29/40000, reward_per_episode = 112.0
episode - 30/40000, reward_per_episode = -5.0
episode - 31/40000, reward_per_episode = -2.0
episode - 32/40000, reward_per_episode = 59.5
episode - 33/40000, reward_per_episode = 19.0
episode - 34/40000, reward_per_episode = 26.5
episode - 35/40000, reward_per_episode = -18.5
episode - 36/40000, reward_per_episode = -18.5
episode - 37/40000, reward_per_episode = 16.0
episode - 38/40000, reward_per_episode = 8.5
episode - 39/40000, reward_per_episode = 10.0
episode - 40/40000, reward_per_episode = 2.5
episode - 41/40000, reward_per_episode = 64.0
episode - 42/40000, reward_per_episode = -41.0
episode - 43/40000, reward_per_episode = 14.5
episode - 44/40000, reward_per_episode = 32.5
episode - 45/40000, reward_per_episode = -48.5
episode - 46/40000, reward_per_episode = 34.0
episode - 47/40000, reward_per_episode = -41.0
episode - 48/40000, reward_per_episode = 40.0
episode - 49/40000, reward_per_episode = 79.0
episode - 50/40000, reward_per_episode = -29.0
episode - 51/40000, reward_per_episode = 58.0
episode - 52/40000, reward_per_episode = 86.5
episode - 53/40000, reward_per_episode = 23.5
episode - 54/40000, reward_per_episode = 1.0
episode - 55/40000, reward_per_episode = -21.5
episode - 56/40000, reward_per_episode = 49.0
episode - 57/40000, reward_per_episode = -26.0
episode - 58/40000, reward_per_episode = -14.0
episode - 59/40000, reward_per_episode = 35.5
episode - 60/40000, reward_per_episode = -20.0
episode - 61/40000, reward_per_episode = 82.5
episode - 62/40000, reward_per_episode = 82.0
episode - 63/40000, reward_per_episode = 70.0
episode - 64/40000, reward_per_episode = 44.5
episode - 65/40000, reward_per_episode = 72.0
episode - 66/40000, reward_per_episode = 17.5
episode - 67/40000, reward_per_episode = 70.0
episode - 68/40000, reward_per_episode = 8.5
episode - 69/40000, reward_per_episode = 82.0
episode - 70/40000, reward_per_episode = -44.0
episode - 71/40000, reward_per_episode = -9.5
episode - 72/40000, reward_per_episode = 25.0
episode - 73/40000, reward_per_episode = 4.0
episode - 74/40000, reward_per_episode = -20.0
episode - 75/40000, reward_per_episode = 97.5
episode - 76/40000, reward_per_episode = 100.0
episode - 77/40000, reward_per_episode = 73.0
episode - 78/40000, reward_per_episode = 65.5
episode - 79/40000, reward_per_episode = 62.5
episode - 80/40000, reward_per_episode = 4.0
episode - 81/40000, reward_per_episode = 58.5
episode - 82/40000, reward_per_episode = 4.0
episode - 83/40000, reward_per_episode = 40.0
episode - 84/40000, reward_per_episode = 28.0
episode - 85/40000, reward_per_episode = 64.0
episode - 86/40000, reward_per_episode = 53.5
episode - 87/40000, reward_per_episode = 35.5
episode - 88/40000, reward_per_episode = 34.0
episode - 89/40000, reward_per_episode = 103.5
episode - 90/40000, reward_per_episode = 95.0
episode - 91/40000, reward_per_episode = 77.5
episode - 92/40000, reward_per_episode = 83.0
episode - 93/40000, reward_per_episode = 79.0
episode - 94/40000, reward_per_episode = -26.0
episode - 95/40000, reward_per_episode = 86.5
episode - 96/40000, reward_per_episode = 43.0
episode - 97/40000, reward_per_episode = 35.5
episode - 98/40000, reward_per_episode = 43.0
episode - 99/40000, reward_per_episode = 13.0
episode - 100/40000, reward_per_episode = 62.5
episode - 101/40000, reward_per_episode = 70.5
episode - 102/40000, reward_per_episode = 49.0
episode - 103/40000, reward_per_episode = 59.5
episode - 104/40000, reward_per_episode = 74.5
episode - 105/40000, reward_per_episode = 28.0
episode - 106/40000, reward_per_episode = 71.0
episode - 107/40000, reward_per_episode = 79.0
episode - 108/40000, reward_per_episode = 131.5
episode - 109/40000, reward_per_episode = 37.0
episode - 110/40000, reward_per_episode = 95.0
episode - 111/40000, reward_per_episode = 86.5
episode - 112/40000, reward_per_episode = -0.5
episode - 113/40000, reward_per_episode = 104.5
episode - 114/40000, reward_per_episode = 82.0
episode - 115/40000, reward_per_episode = 82.0
episode - 116/40000, reward_per_episode = 31.0
episode - 117/40000, reward_per_episode = 38.5
episode - 118/40000, reward_per_episode = 37.0
episode - 119/40000, reward_per_episode = 95.0
episode - 120/40000, reward_per_episode = 68.0
episode - 121/40000, reward_per_episode = 74.5
episode - 122/40000, reward_per_episode = 68.5
episode - 123/40000, reward_per_episode = 79.0
episode - 124/40000, reward_per_episode = 32.5
episode - 125/40000, reward_per_episode = 49.0
episode - 126/40000, reward_per_episode = 112.5
episode - 127/40000, reward_per_episode = 127.0
episode - 128/40000, reward_per_episode = 44.5
episode - 129/40000, reward_per_episode = 28.0
episode - 130/40000, reward_per_episode = -20.0
episode - 131/40000, reward_per_episode = 97.0
episode - 132/40000, reward_per_episode = 105.0
episode - 133/40000, reward_per_episode = 59.5
episode - 134/40000, reward_per_episode = 105.5
episode - 135/40000, reward_per_episode = 107.5
episode - 136/40000, reward_per_episode = 52.0
episode - 137/40000, reward_per_episode = 50.5
episode - 138/40000, reward_per_episode = 107.5
episode - 139/40000, reward_per_episode = 26.5
episode - 140/40000, reward_per_episode = 62.0
episode - 141/40000, reward_per_episode = 67.0
episode - 142/40000, reward_per_episode = 125.0
episode - 143/40000, reward_per_episode = 117.5
episode - 144/40000, reward_per_episode = 95.5
episode - 145/40000, reward_per_episode = 107.5
episode - 146/40000, reward_per_episode = 58.0
episode - 147/40000, reward_per_episode = 40.0
episode - 148/40000, reward_per_episode = 82.5
episode - 149/40000, reward_per_episode = 10.0
episode - 150/40000, reward_per_episode = 107.5
episode - 151/40000, reward_per_episode = 107.5
episode - 152/40000, reward_per_episode = 43.0
episode - 153/40000, reward_per_episode = 106.5
episode - 154/40000, reward_per_episode = 86.0
episode - 155/40000, reward_per_episode = 125.0
episode - 156/40000, reward_per_episode = 59.5
episode - 157/40000, reward_per_episode = 107.5
episode - 158/40000, reward_per_episode = 88.0
episode - 159/40000, reward_per_episode = 107.5
episode - 160/40000, reward_per_episode = 80.5
episode - 161/40000, reward_per_episode = 95.5
episode - 162/40000, reward_per_episode = 64.0
episode - 163/40000, reward_per_episode = 103.0
episode - 164/40000, reward_per_episode = 74.5
episode - 165/40000, reward_per_episode = 118.0
episode - 166/40000, reward_per_episode = 52.0
episode - 167/40000, reward_per_episode = 107.5
episode - 168/40000, reward_per_episode = 107.5
episode - 169/40000, reward_per_episode = 112.5
episode - 170/40000, reward_per_episode = 115.0
episode - 171/40000, reward_per_episode = 107.5
episode - 172/40000, reward_per_episode = 46.0
episode - 173/40000, reward_per_episode = 43.0
episode - 174/40000, reward_per_episode = 109.0
episode - 175/40000, reward_per_episode = 103.5
episode - 176/40000, reward_per_episode = 107.5
episode - 177/40000, reward_per_episode = 79.0
episode - 178/40000, reward_per_episode = 16.0
episode - 179/40000, reward_per_episode = 107.5
episode - 180/40000, reward_per_episode = 109.0
episode - 181/40000, reward_per_episode = 85.0
episode - 182/40000, reward_per_episode = 107.5
episode - 183/40000, reward_per_episode = 107.5
episode - 184/40000, reward_per_episode = 28.0
episode - 185/40000, reward_per_episode = 61.0
episode - 186/40000, reward_per_episode = 117.5
episode - 187/40000, reward_per_episode = 127.5
episode - 188/40000, reward_per_episode = 107.5
episode - 189/40000, reward_per_episode = 107.5
episode - 190/40000, reward_per_episode = 107.5
episode - 191/40000, reward_per_episode = 107.5
episode - 192/40000, reward_per_episode = 115.5
episode - 193/40000, reward_per_episode = 111.5
episode - 194/40000, reward_per_episode = 128.0
episode - 195/40000, reward_per_episode = 102.0
episode - 196/40000, reward_per_episode = 107.5
episode - 197/40000, reward_per_episode = 107.5
episode - 198/40000, reward_per_episode = 87.5
episode - 199/40000, reward_per_episode = 107.5
episode - 200/40000, reward_per_episode = 25.0
episode - 201/40000, reward_per_episode = 86.0
episode - 202/40000, reward_per_episode = 115.5
episode - 203/40000, reward_per_episode = 124.0
episode - 204/40000, reward_per_episode = 112.5
episode - 205/40000, reward_per_episode = -5.0
episode - 206/40000, reward_per_episode = 103.0
episode - 207/40000, reward_per_episode = 82.0
episode - 208/40000, reward_per_episode = 107.5
episode - 209/40000, reward_per_episode = 107.5
episode - 210/40000, reward_per_episode = 95.0
episode - 211/40000, reward_per_episode = 107.5
episode - 212/40000, reward_per_episode = 76.0
episode - 213/40000, reward_per_episode = 67.0
episode - 214/40000, reward_per_episode = 121.0
episode - 215/40000, reward_per_episode = 107.5
