episode - 0/300, accumulative_reward = 0
episode - 1/300, accumulative_reward = -471
episode - 2/300, accumulative_reward = -882
episode - 3/300, accumulative_reward = -1477
episode - 4/300, accumulative_reward = -2111
episode - 5/300, accumulative_reward = -2955
episode - 6/300, accumulative_reward = -3841
episode - 7/300, accumulative_reward = -4132
episode - 8/300, accumulative_reward = -4836
episode - 9/300, accumulative_reward = -5647
episode - 10/300, accumulative_reward = -6553
episode - 11/300, accumulative_reward = -7157
episode - 12/300, accumulative_reward = -7473
episode - 13/300, accumulative_reward = -8544
episode - 14/300, accumulative_reward = -8933
episode - 15/300, accumulative_reward = -9105
episode - 16/300, accumulative_reward = -9738
episode - 17/300, accumulative_reward = -10329
episode - 18/300, accumulative_reward = -11010
episode - 19/300, accumulative_reward = -11496
episode - 20/300, accumulative_reward = -12007
episode - 21/300, accumulative_reward = -12216
episode - 22/300, accumulative_reward = -13007
episode - 23/300, accumulative_reward = -13098
episode - 24/300, accumulative_reward = -13030
episode - 25/300, accumulative_reward = -13726
episode - 26/300, accumulative_reward = -13977
episode - 27/300, accumulative_reward = -14543
episode - 28/300, accumulative_reward = -14871
episode - 29/300, accumulative_reward = -15247
episode - 30/300, accumulative_reward = -15611
episode - 31/300, accumulative_reward = -15926
episode - 32/300, accumulative_reward = -16058
episode - 33/300, accumulative_reward = -16540
episode - 34/300, accumulative_reward = -17141
episode - 35/300, accumulative_reward = -17295
episode - 36/300, accumulative_reward = -18059
episode - 37/300, accumulative_reward = -18545
episode - 38/300, accumulative_reward = -18605
episode - 39/300, accumulative_reward = -18871
episode - 40/300, accumulative_reward = -19142
episode - 41/300, accumulative_reward = -19838
episode - 42/300, accumulative_reward = -20182
episode - 43/300, accumulative_reward = -20578
episode - 44/300, accumulative_reward = -20912
episode - 45/300, accumulative_reward = -21024
episode - 46/300, accumulative_reward = -21222
episode - 47/300, accumulative_reward = -21272
episode - 48/300, accumulative_reward = -21538
episode - 49/300, accumulative_reward = -21671
episode - 50/300, accumulative_reward = -21779
episode - 51/300, accumulative_reward = -22697
episode - 52/300, accumulative_reward = -22817
episode - 53/300, accumulative_reward = -22567
episode - 54/300, accumulative_reward = -22843
episode - 55/300, accumulative_reward = -23253
episode - 56/300, accumulative_reward = -23411
episode - 57/300, accumulative_reward = -23562
episode - 58/300, accumulative_reward = -23596
episode - 59/300, accumulative_reward = -23727
episode - 60/300, accumulative_reward = -23941
episode - 61/300, accumulative_reward = -24046
episode - 62/300, accumulative_reward = -24592
episode - 63/300, accumulative_reward = -24708
episode - 64/300, accumulative_reward = -24895
episode - 65/300, accumulative_reward = -24623
episode - 66/300, accumulative_reward = -25099
episode - 67/300, accumulative_reward = -25322
episode - 68/300, accumulative_reward = -25418
episode - 69/300, accumulative_reward = -25418
episode - 70/300, accumulative_reward = -25676
episode - 71/300, accumulative_reward = -25872
episode - 72/300, accumulative_reward = -25937
episode - 73/300, accumulative_reward = -26041
episode - 74/300, accumulative_reward = -26315
episode - 75/300, accumulative_reward = -26387
episode - 76/300, accumulative_reward = -26468
episode - 77/300, accumulative_reward = -26518
episode - 78/300, accumulative_reward = -26699
episode - 79/300, accumulative_reward = -26875
episode - 80/300, accumulative_reward = -27134
episode - 81/300, accumulative_reward = -27139
episode - 82/300, accumulative_reward = -27406
episode - 83/300, accumulative_reward = -27444
episode - 84/300, accumulative_reward = -27671
episode - 85/300, accumulative_reward = -27856
episode - 86/300, accumulative_reward = -27684
episode - 87/300, accumulative_reward = -27989
episode - 88/300, accumulative_reward = -28066
episode - 89/300, accumulative_reward = -28236
episode - 90/300, accumulative_reward = -28318
episode - 91/300, accumulative_reward = -28614
episode - 92/300, accumulative_reward = -27446
episode - 93/300, accumulative_reward = -27437
episode - 94/300, accumulative_reward = -27659
episode - 95/300, accumulative_reward = -27733
episode - 96/300, accumulative_reward = -27820
episode - 97/300, accumulative_reward = -27961
episode - 98/300, accumulative_reward = -28024
episode - 99/300, accumulative_reward = -28333
episode - 100/300, accumulative_reward = -27270
episode - 101/300, accumulative_reward = -27377
episode - 102/300, accumulative_reward = -26314
episode - 103/300, accumulative_reward = -26429
episode - 104/300, accumulative_reward = -26875
episode - 105/300, accumulative_reward = -25707
episode - 106/300, accumulative_reward = -26133
episode - 107/300, accumulative_reward = -26210
episode - 108/300, accumulative_reward = -26287
episode - 109/300, accumulative_reward = -26234
episode - 110/300, accumulative_reward = -26438
episode - 111/300, accumulative_reward = -25375
episode - 112/300, accumulative_reward = -25715
episode - 113/300, accumulative_reward = -25915
episode - 114/300, accumulative_reward = -26006
episode - 115/300, accumulative_reward = -26070
episode - 116/300, accumulative_reward = -26315
episode - 117/300, accumulative_reward = -26439
episode - 118/300, accumulative_reward = -26577
episode - 119/300, accumulative_reward = -25409
episode - 120/300, accumulative_reward = -24346
episode - 121/300, accumulative_reward = -24707
episode - 122/300, accumulative_reward = -23644
episode - 123/300, accumulative_reward = -23919
episode - 124/300, accumulative_reward = -22856
episode - 125/300, accumulative_reward = -21770
episode - 126/300, accumulative_reward = -20783
episode - 127/300, accumulative_reward = -20590
episode - 128/300, accumulative_reward = -20854
episode - 129/300, accumulative_reward = -19791
episode - 130/300, accumulative_reward = -19651
episode - 131/300, accumulative_reward = -18588
episode - 132/300, accumulative_reward = -18852
episode - 133/300, accumulative_reward = -17789
episode - 134/300, accumulative_reward = -16753
episode - 135/300, accumulative_reward = -16924
episode - 136/300, accumulative_reward = -17214
episode - 137/300, accumulative_reward = -16201
episode - 138/300, accumulative_reward = -15186
episode - 139/300, accumulative_reward = -14163
episode - 140/300, accumulative_reward = -13100
episode - 141/300, accumulative_reward = -12037
episode - 142/300, accumulative_reward = -10974
episode - 143/300, accumulative_reward = -9911
episode - 144/300, accumulative_reward = -10250
episode - 145/300, accumulative_reward = -10100
episode - 146/300, accumulative_reward = -10170
episode - 147/300, accumulative_reward = -9095
episode - 148/300, accumulative_reward = -9676
episode - 149/300, accumulative_reward = -9898
episode - 150/300, accumulative_reward = -8835
episode - 151/300, accumulative_reward = -9069
episode - 152/300, accumulative_reward = -7994
episode - 153/300, accumulative_reward = -6958
episode - 154/300, accumulative_reward = -5897
episode - 155/300, accumulative_reward = -4824
episode - 156/300, accumulative_reward = -3728
episode - 157/300, accumulative_reward = -2665
episode - 158/300, accumulative_reward = -2877
episode - 159/300, accumulative_reward = -3079
episode - 160/300, accumulative_reward = -2831
episode - 161/300, accumulative_reward = -1730
episode - 162/300, accumulative_reward = -1800
episode - 163/300, accumulative_reward = -737
episode - 164/300, accumulative_reward = 398
episode - 165/300, accumulative_reward = 1461
episode - 166/300, accumulative_reward = 1554
episode - 167/300, accumulative_reward = 1290
episode - 168/300, accumulative_reward = 894
episode - 169/300, accumulative_reward = 2062
episode - 170/300, accumulative_reward = 3125
episode - 171/300, accumulative_reward = 2833
episode - 172/300, accumulative_reward = 3896
episode - 173/300, accumulative_reward = 4987
episode - 174/300, accumulative_reward = 6050
episode - 175/300, accumulative_reward = 7113
episode - 176/300, accumulative_reward = 8152
episode - 177/300, accumulative_reward = 9215
episode - 178/300, accumulative_reward = 10278
episode - 179/300, accumulative_reward = 11251
episode - 180/300, accumulative_reward = 11271
episode - 181/300, accumulative_reward = 12334
episode - 182/300, accumulative_reward = 13451
episode - 183/300, accumulative_reward = 14514
episode - 184/300, accumulative_reward = 15577
episode - 185/300, accumulative_reward = 15468
episode - 186/300, accumulative_reward = 16531
episode - 187/300, accumulative_reward = 17627
episode - 188/300, accumulative_reward = 17465
episode - 189/300, accumulative_reward = 18528
episode - 190/300, accumulative_reward = 19356
episode - 191/300, accumulative_reward = 20436
episode - 192/300, accumulative_reward = 21528
episode - 193/300, accumulative_reward = 22591
episode - 194/300, accumulative_reward = 23654
episode - 195/300, accumulative_reward = 24717
episode - 196/300, accumulative_reward = 24570
episode - 197/300, accumulative_reward = 25633
episode - 198/300, accumulative_reward = 26701
episode - 199/300, accumulative_reward = 27764
episode - 200/300, accumulative_reward = 28827
episode - 201/300, accumulative_reward = 28536
episode - 202/300, accumulative_reward = 28311
episode - 203/300, accumulative_reward = 29479
episode - 204/300, accumulative_reward = 30542
episode - 205/300, accumulative_reward = 31572
episode - 206/300, accumulative_reward = 32633
episode - 207/300, accumulative_reward = 33696
episode - 208/300, accumulative_reward = 34583
episode - 209/300, accumulative_reward = 35646
episode - 210/300, accumulative_reward = 36709
episode - 211/300, accumulative_reward = 37772
episode - 212/300, accumulative_reward = 38735
episode - 213/300, accumulative_reward = 38589
episode - 214/300, accumulative_reward = 39652
episode - 215/300, accumulative_reward = 40787
episode - 216/300, accumulative_reward = 41850
episode - 217/300, accumulative_reward = 41676
episode - 218/300, accumulative_reward = 42739
episode - 219/300, accumulative_reward = 42643
episode - 220/300, accumulative_reward = 43760
episode - 221/300, accumulative_reward = 44823
episode - 222/300, accumulative_reward = 45800
episode - 223/300, accumulative_reward = 46852
episode - 224/300, accumulative_reward = 47915
episode - 225/300, accumulative_reward = 48875
episode - 226/300, accumulative_reward = 49938
episode - 227/300, accumulative_reward = 50998
episode - 228/300, accumulative_reward = 50952
episode - 229/300, accumulative_reward = 52015
episode - 230/300, accumulative_reward = 53078
episode - 231/300, accumulative_reward = 54141
episode - 232/300, accumulative_reward = 55204
episode - 233/300, accumulative_reward = 56324
episode - 234/300, accumulative_reward = 57387
episode - 235/300, accumulative_reward = 57305
episode - 236/300, accumulative_reward = 58365
episode - 237/300, accumulative_reward = 58325
episode - 238/300, accumulative_reward = 58405
episode - 239/300, accumulative_reward = 59468
episode - 240/300, accumulative_reward = 59641
episode - 241/300, accumulative_reward = 59574
episode - 242/300, accumulative_reward = 60637
episode - 243/300, accumulative_reward = 61700
episode - 244/300, accumulative_reward = 61717
episode - 245/300, accumulative_reward = 62780
episode - 246/300, accumulative_reward = 62562
episode - 247/300, accumulative_reward = 63625
episode - 248/300, accumulative_reward = 64655
episode - 249/300, accumulative_reward = 65718
episode - 250/300, accumulative_reward = 66739
episode - 251/300, accumulative_reward = 67814
episode - 252/300, accumulative_reward = 68877
episode - 253/300, accumulative_reward = 69940
episode - 254/300, accumulative_reward = 71036
episode - 255/300, accumulative_reward = 72099
episode - 256/300, accumulative_reward = 73162
episode - 257/300, accumulative_reward = 74242
episode - 258/300, accumulative_reward = 75305
episode - 259/300, accumulative_reward = 76368
episode - 260/300, accumulative_reward = 77431
episode - 261/300, accumulative_reward = 78494
episode - 262/300, accumulative_reward = 79561
episode - 263/300, accumulative_reward = 80624
episode - 264/300, accumulative_reward = 81784
episode - 265/300, accumulative_reward = 82847
episode - 266/300, accumulative_reward = 83910
episode - 267/300, accumulative_reward = 84973
episode - 268/300, accumulative_reward = 86036
episode - 269/300, accumulative_reward = 87190
episode - 270/300, accumulative_reward = 88253
episode - 271/300, accumulative_reward = 89316
episode - 272/300, accumulative_reward = 90379
episode - 273/300, accumulative_reward = 91442
episode - 274/300, accumulative_reward = 92505
episode - 275/300, accumulative_reward = 93580
episode - 276/300, accumulative_reward = 94643
episode - 277/300, accumulative_reward = 95706
episode - 278/300, accumulative_reward = 96769
episode - 279/300, accumulative_reward = 97832
episode - 280/300, accumulative_reward = 98895
episode - 281/300, accumulative_reward = 99958
episode - 282/300, accumulative_reward = 101021
episode - 283/300, accumulative_reward = 102084
episode - 284/300, accumulative_reward = 103147
episode - 285/300, accumulative_reward = 104210
episode - 286/300, accumulative_reward = 105273
episode - 287/300, accumulative_reward = 106336
episode - 288/300, accumulative_reward = 107399
episode - 289/300, accumulative_reward = 108429
episode - 290/300, accumulative_reward = 109492
episode - 291/300, accumulative_reward = 110555
episode - 292/300, accumulative_reward = 110475
episode - 293/300, accumulative_reward = 111538
episode - 294/300, accumulative_reward = 112601
episode - 295/300, accumulative_reward = 113664
episode - 296/300, accumulative_reward = 114727
episode - 297/300, accumulative_reward = 115790
episode - 298/300, accumulative_reward = 116853
episode - 299/300, accumulative_reward = 116570
