episode - 0/300, epsilon = 0.9831353223738244
episode - 1/300, epsilon = 0.9714023696327185
episode - 2/300, epsilon = 0.9550199818235596
episode - 3/300, epsilon = 0.9389138777035492
episode - 4/300, epsilon = 0.9230793978373364
episode - 5/300, epsilon = 0.9075119613694457
episode - 6/300, epsilon = 0.8922070646990518
episode - 7/300, epsilon = 0.8771602801771059
episode - 8/300, epsilon = 0.862367254825433
episode - 9/300, epsilon = 0.847823709077432
episode - 10/300, epsilon = 0.8335254355400126
episode - 11/300, epsilon = 0.8194682977764125
episode - 12/300, epsilon = 0.8056482291095421
episode - 13/300, epsilon = 0.7920612314455105
episode - 14/300, epsilon = 0.7787033741169904
episode - 15/300, epsilon = 0.7655707927460921
episode - 16/300, epsilon = 0.7526596881264136
episode - 17/300, epsilon = 0.7399663251239436
episode - 18/300, epsilon = 0.7274870315965022
episode - 19/300, epsilon = 0.7152181973314037
episode - 20/300, epsilon = 0.7031562730010349
episode - 21/300, epsilon = 0.6912977691360495
episode - 22/300, epsilon = 0.6796392551158754
episode - 23/300, epsilon = 0.6681773581762521
episode - 24/300, epsilon = 0.6569087624334999
episode - 25/300, epsilon = 0.6477715799982753
episode - 26/300, epsilon = 0.6368471211262058
episode - 27/300, epsilon = 0.6261068997312542
episode - 28/300, epsilon = 0.6155478087077623
episode - 29/300, epsilon = 0.6051667933504074
episode - 30/300, epsilon = 0.5949608504704863
episode - 31/300, epsilon = 0.5849270275271061
episode - 32/300, epsilon = 0.5750624217730242
episode - 33/300, epsilon = 0.5653641794148941
episode - 34/300, epsilon = 0.5602962074911925
episode - 35/300, epsilon = 0.5508469925766849
episode - 36/300, epsilon = 0.5415571356255309
episode - 37/300, epsilon = 0.536165869467113
episode - 38/300, epsilon = 0.5271236049243919
episode - 39/300, epsilon = 0.5182338352581944
episode - 40/300, epsilon = 0.5094939886915886
episode - 41/300, epsilon = 0.5009015368198305
episode - 42/300, epsilon = 0.49245399387890804
episode - 43/300, epsilon = 0.4841489160264175
episode - 44/300, epsilon = 0.47598390063456947
episode - 45/300, epsilon = 0.46983310087889063
episode - 46/300, epsilon = 0.4619095170944617
episode - 47/300, epsilon = 0.45548464994757865
episode - 48/300, epsilon = 0.4491491486100748
episode - 49/300, epsilon = 0.44157439301269474
episode - 50/300, epsilon = 0.43412738322656147
episode - 51/300, epsilon = 0.42766085891672473
episode - 52/300, epsilon = 0.4204484963977607
episode - 53/300, epsilon = 0.4133577680476022
episode - 54/300, epsilon = 0.4067934159611651
episode - 55/300, epsilon = 0.40073404349347275
episode - 56/300, epsilon = 0.3959515954549783
episode - 57/300, epsilon = 0.39240225214322594
episode - 58/300, epsilon = 0.3877192375315819
episode - 59/300, epsilon = 0.38194398360437026
episode - 60/300, epsilon = 0.3758784999495749
episode - 61/300, epsilon = 0.36953943022131486
episode - 62/300, epsilon = 0.3633072668604718
episode - 63/300, epsilon = 0.3571802069256231
episode - 64/300, epsilon = 0.3511564778813719
episode - 65/300, epsilon = 0.34557991700256185
episode - 66/300, epsilon = 0.340432347370627
episode - 67/300, epsilon = 0.33738068325533116
episode - 68/300, epsilon = 0.33169086679493115
episode - 69/300, epsilon = 0.3260970072548879
episode - 70/300, epsilon = 0.3205974863526735
episode - 71/300, epsilon = 0.31519071309757335
episode - 72/300, epsilon = 0.30987512333041833
episode - 73/300, epsilon = 0.30556495775503617
episode - 74/300, epsilon = 0.3016163601974338
episode - 75/300, epsilon = 0.2989126458468155
episode - 76/300, epsilon = 0.29564099771593877
episode - 77/300, epsilon = 0.2906551075963786
episode - 78/300, epsilon = 0.2857533029063643
episode - 79/300, epsilon = 0.28206071720470993
episode - 80/300, epsilon = 0.27730385413804465
episode - 81/300, epsilon = 0.27372045462388644
episode - 82/300, epsilon = 0.26910424739696437
episode - 83/300, epsilon = 0.26456589101677996
episode - 84/300, epsilon = 0.261670173773414
episode - 85/300, epsilon = 0.25725719064833996
episode - 86/300, epsilon = 0.2529186310610401
episode - 87/300, epsilon = 0.25040079579164093
episode - 88/300, epsilon = 0.2461778670932771
episode - 89/300, epsilon = 0.24202615672604952
episode - 90/300, epsilon = 0.23913776344553783
episode - 91/300, epsilon = 0.23699411247654112
episode - 92/300, epsilon = 0.23299728317032256
episode - 93/300, epsilon = 0.23021664244871493
episode - 94/300, epsilon = 0.22701447560002463
episode - 95/300, epsilon = 0.22363299200356998
episode - 96/300, epsilon = 0.22030187713925398
episode - 97/300, epsilon = 0.21658655700085905
episode - 98/300, epsilon = 0.21293389453887626
episode - 99/300, epsilon = 0.21102513724858546
episode - 100/300, epsilon = 0.2074662663378686
episode - 101/300, epsilon = 0.20560652132536425
episode - 102/300, epsilon = 0.20213903362537258
episode - 103/300, epsilon = 0.19873002398761402
episode - 104/300, epsilon = 0.19694859138428197
episode - 105/300, epsilon = 0.19362711688165665
episode - 106/300, epsilon = 0.19036165797576166
episode - 107/300, epsilon = 0.18846658486714196
episode - 108/300, epsilon = 0.18528815667005136
episode - 109/300, epsilon = 0.1821633316398626
episode - 110/300, epsilon = 0.1805304042562526
episode - 111/300, epsilon = 0.17748581718674777
episode - 112/300, epsilon = 0.17449257609667496
episode - 113/300, epsilon = 0.17292841000913206
episode - 114/300, epsilon = 0.17001202812192093
episode - 115/300, epsilon = 0.16714483007507247
episode - 116/300, epsilon = 0.16432598639897444
episode - 117/300, epsilon = 0.16269010151972138
episode - 118/300, epsilon = 0.16123173380420852
episode - 119/300, epsilon = 0.15978643901921685
episode - 120/300, epsilon = 0.1570916922361232
episode - 121/300, epsilon = 0.15568350913099022
episode - 122/300, epsilon = 0.1530579569377843
episode - 123/300, epsilon = 0.1516859325741916
episode - 124/300, epsilon = 0.14972580367955157
episode - 125/300, epsilon = 0.14779100412968604
episode - 126/300, epsilon = 0.14529855648899012
episode - 127/300, epsilon = 0.1428481431742546
episode - 128/300, epsilon = 0.14156764043757744
episode - 129/300, epsilon = 0.13918014781929933
episode - 130/300, epsilon = 0.13793252530063388
episode - 131/300, epsilon = 0.13560633772727437
episode - 132/300, epsilon = 0.13439075114202403
episode - 133/300, epsilon = 0.13265411551592862
episode - 134/300, epsilon = 0.13041694662196698
episode - 135/300, epsilon = 0.12821750686019742
episode - 136/300, epsilon = 0.1261813412822505
episode - 137/300, epsilon = 0.12480026572357655
episode - 138/300, epsilon = 0.12294130915148117
episode - 139/300, epsilon = 0.12183925294465245
episode - 140/300, epsilon = 0.12074707566209575
episode - 141/300, epsilon = 0.11966468874830531
episode - 142/300, epsilon = 0.11859200444159435
episode - 143/300, epsilon = 0.11659198851764484
episode - 144/300, epsilon = 0.11462570221749999
episode - 145/300, epsilon = 0.11269257670192787
episode - 146/300, epsilon = 0.11134767875489385
episode - 147/300, epsilon = 0.1094698360482696
episode - 148/300, epsilon = 0.10762366255352522
episode - 149/300, epsilon = 0.10665891501555477
episode - 150/300, epsilon = 0.10486014679785978
episode - 151/300, epsilon = 0.10371243522378842
episode - 152/300, epsilon = 0.10226986131454316
episode - 153/300, epsilon = 0.10104935034078859
episode - 154/300, epsilon = 0.09974356180769112
episode - 155/300, epsilon = 0.0984546470465419
episode - 156/300, epsilon = 0.09757209133261925
episode - 157/300, epsilon = 0.09592656946698286
episode - 158/300, epsilon = 0.09430879879713726
episode - 159/300, epsilon = 0.09271831130811167
episode - 160/300, epsilon = 0.0916117906287544
episode - 161/300, epsilon = 0.09006678731304377
episode - 162/300, epsilon = 0.08925942107729658
episode - 163/300, epsilon = 0.08828246201521552
episode - 164/300, epsilon = 0.08749109062109678
episode - 165/300, epsilon = 0.08601558158260945
episode - 166/300, epsilon = 0.08456495652839072
episode - 167/300, epsilon = 0.08313879579806785
episode - 168/300, epsilon = 0.08239353265934016
episode - 169/300, epsilon = 0.08165495012189629
episode - 170/300, epsilon = 0.08027786571150902
episode - 171/300, epsilon = 0.07955824819003524
episode - 172/300, epsilon = 0.07876623629900087
episode - 173/300, epsilon = 0.07806016915036741
episode - 174/300, epsilon = 0.07736043124687506
episode - 175/300, epsilon = 0.07636075768443289
episode - 176/300, epsilon = 0.0756762534478578
episode - 177/300, epsilon = 0.07499788516467158
episode - 178/300, epsilon = 0.07402874109670564
episode - 179/300, epsilon = 0.07278027024303808
episode - 180/300, epsilon = 0.07212786179619796
episode - 181/300, epsilon = 0.07133841047151027
episode - 182/300, epsilon = 0.07069892697659683
episode - 183/300, epsilon = 0.07006517586536791
episode - 184/300, epsilon = 0.06888354926157718
episode - 185/300, epsilon = 0.06826607134844892
episode - 186/300, epsilon = 0.06758647443056524
episode - 187/300, epsilon = 0.06644665032740404
episode - 188/300, epsilon = 0.06585101698071448
episode - 189/300, epsilon = 0.06493507128154478
episode - 190/300, epsilon = 0.06428863486834849
episode - 191/300, epsilon = 0.06358498517327525
episode - 192/300, epsilon = 0.06301500403304695
episode - 193/300, epsilon = 0.062450132251566336
episode - 194/300, epsilon = 0.06189032402811302
episode - 195/300, epsilon = 0.06084656366519934
episode - 196/300, epsilon = 0.06030112996505215
episode - 197/300, epsilon = 0.05970082499276251
episode - 198/300, epsilon = 0.05916566179017289
episode - 199/300, epsilon = 0.058635295835417614
episode - 200/300, epsilon = 0.05764643047363786
episode - 201/300, epsilon = 0.05667424200740021
episode - 202/300, epsilon = 0.056166209348543376
episode - 203/300, epsilon = 0.055662730737051316
episode - 204/300, epsilon = 0.054998439490143596
episode - 205/300, epsilon = 0.0544509234367423
episode - 206/300, epsilon = 0.053962820792031733
episode - 207/300, epsilon = 0.05310586107665168
episode - 208/300, epsilon = 0.052629815683752905
episode - 209/300, epsilon = 0.05215803760168396
episode - 210/300, epsilon = 0.05169048857791265
episode - 211/300, epsilon = 0.05112472766853079
episode - 212/300, epsilon = 0.05026252561767499
episode - 213/300, epsilon = 0.049811968122312755
episode - 214/300, epsilon = 0.04926676792865426
episode - 215/300, epsilon = 0.048825136488734704
episode - 216/300, epsilon = 0.048001716301798183
episode - 217/300, epsilon = 0.047571424890766864
episode - 218/300, epsilon = 0.04676914814576626
episode - 219/300, epsilon = 0.046257252117813626
episode - 220/300, epsilon = 0.04584259823004296
episode - 221/300, epsilon = 0.045295502600049845
episode - 222/300, epsilon = 0.04479973586526098
episode - 223/300, epsilon = 0.044398147275426084
episode - 224/300, epsilon = 0.04382442175015053
episode - 225/300, epsilon = 0.0434315759578471
episode - 226/300, epsilon = 0.04295621020709081
episode - 227/300, epsilon = 0.042231767569906
episode - 228/300, epsilon = 0.04185319846325676
episode - 229/300, epsilon = 0.04147802288183169
episode - 230/300, epsilon = 0.04110621040578604
episode - 231/300, epsilon = 0.04073773088796111
episode - 232/300, epsilon = 0.040291849715091435
episode - 233/300, epsilon = 0.039930670194801676
episode - 234/300, epsilon = 0.03925725231456919
