episode - 0/1000, loss = 14703.111328125
episode - 1/1000, loss = 1344.9375
episode - 2/1000, loss = 379.614990234375
episode - 3/1000, loss = 6651.1083984375
episode - 4/1000, loss = 1.3908346891403198
episode - 5/1000, loss = 355.28936767578125
episode - 6/1000, loss = 2062.38623046875
episode - 7/1000, loss = 252.24652099609375
episode - 8/1000, loss = 2035.368896484375
episode - 9/1000, loss = 24.261554718017578
episode - 10/1000, loss = 596.679931640625
episode - 11/1000, loss = 160.10293579101562
episode - 12/1000, loss = 4856.71044921875
episode - 13/1000, loss = 303.9450988769531
episode - 14/1000, loss = 1652.232177734375
episode - 15/1000, loss = 113.19432830810547
episode - 16/1000, loss = 44.734798431396484
episode - 17/1000, loss = 103.59683990478516
episode - 18/1000, loss = 7480.15673828125
episode - 19/1000, loss = 470.5690612792969
episode - 20/1000, loss = 62.74740219116211
episode - 21/1000, loss = 1768.0159912109375
episode - 22/1000, loss = 152.333984375
episode - 23/1000, loss = 327.6368713378906
episode - 24/1000, loss = 546.008544921875
episode - 25/1000, loss = 12.523910522460938
episode - 26/1000, loss = 7.632654190063477
episode - 27/1000, loss = 433.4704895019531
episode - 28/1000, loss = 12.466493606567383
episode - 29/1000, loss = 213.5751953125
episode - 30/1000, loss = 1.4247075319290161
episode - 31/1000, loss = 259.9302673339844
episode - 32/1000, loss = 513.1641235351562
episode - 33/1000, loss = 7.090807914733887
episode - 34/1000, loss = 0.7466053366661072
episode - 35/1000, loss = 4060.346435546875
episode - 36/1000, loss = 346.0646667480469
episode - 37/1000, loss = 12.915985107421875
episode - 38/1000, loss = 205.25975036621094
episode - 39/1000, loss = 609.139892578125
episode - 40/1000, loss = 86.32268524169922
episode - 41/1000, loss = 10.033995628356934
episode - 42/1000, loss = 121.29777526855469
episode - 43/1000, loss = 233.65512084960938
episode - 44/1000, loss = 74.11614990234375
episode - 45/1000, loss = 7.678620338439941
episode - 46/1000, loss = 1447.7086181640625
episode - 47/1000, loss = 387.43499755859375
episode - 48/1000, loss = 209.20521545410156
episode - 49/1000, loss = 1163.40966796875
episode - 50/1000, loss = 651.0646362304688
episode - 51/1000, loss = 14.732128143310547
episode - 52/1000, loss = 115.68621063232422
episode - 53/1000, loss = 2.6055450439453125
episode - 54/1000, loss = 170.2860565185547
episode - 55/1000, loss = 79.45819854736328
episode - 56/1000, loss = 2111.306884765625
episode - 57/1000, loss = 299.1446838378906
episode - 58/1000, loss = 5.298563003540039
episode - 59/1000, loss = 77.10298156738281
episode - 60/1000, loss = 6.614686012268066
episode - 61/1000, loss = 71.1156234741211
episode - 62/1000, loss = 193.70709228515625
episode - 63/1000, loss = 275.44268798828125
episode - 64/1000, loss = 194.32260131835938
episode - 65/1000, loss = 9.195577621459961
episode - 66/1000, loss = 31.462064743041992
episode - 67/1000, loss = 81.66891479492188
episode - 68/1000, loss = 3692.27294921875
episode - 69/1000, loss = 3057.18994140625
episode - 70/1000, loss = 36.133514404296875
episode - 71/1000, loss = 601.2380981445312
episode - 72/1000, loss = 1468.983154296875
episode - 73/1000, loss = 450.0763854980469
episode - 74/1000, loss = 397.4582824707031
episode - 75/1000, loss = 1928.2874755859375
episode - 76/1000, loss = 27.072628021240234
episode - 77/1000, loss = 1747.8851318359375
episode - 78/1000, loss = 860.7333374023438
episode - 79/1000, loss = 1318.920654296875
episode - 80/1000, loss = 13.502086639404297
episode - 81/1000, loss = 74.1500473022461
episode - 82/1000, loss = 6475.5869140625
episode - 83/1000, loss = 329.8802185058594
episode - 84/1000, loss = 1450.206298828125
episode - 85/1000, loss = 121.4752197265625
episode - 86/1000, loss = 78.07476806640625
episode - 87/1000, loss = 164.8521270751953
episode - 88/1000, loss = 7109.66943359375
episode - 89/1000, loss = 1616.89404296875
episode - 90/1000, loss = 4.662979602813721
episode - 91/1000, loss = 9.504937171936035
episode - 92/1000, loss = 22.8544979095459
episode - 93/1000, loss = 341.8066711425781
episode - 94/1000, loss = 963.9122314453125
episode - 95/1000, loss = 2520.758544921875
episode - 96/1000, loss = 856.6558837890625
episode - 97/1000, loss = 2.251718282699585
episode - 98/1000, loss = 0.9052178263664246
episode - 99/1000, loss = 69.3748550415039
episode - 100/1000, loss = 17.5999755859375
episode - 101/1000, loss = 239.05117797851562
episode - 102/1000, loss = 155.79571533203125
episode - 103/1000, loss = 1487.12646484375
episode - 104/1000, loss = 1244.3980712890625
episode - 105/1000, loss = 638.732666015625
episode - 106/1000, loss = 2512.56494140625
episode - 107/1000, loss = 3.086886405944824
episode - 108/1000, loss = 64.34402465820312
episode - 109/1000, loss = 41.18988800048828
episode - 110/1000, loss = 3023.972900390625
episode - 111/1000, loss = 997.8353271484375
episode - 112/1000, loss = 409.3388671875
episode - 113/1000, loss = 4788.640625
episode - 114/1000, loss = 17.20279312133789
