episode - 0/10000, reward_per_episode = 0
episode - 1/10000, reward_per_episode = -458.6606905640821
episode - 2/10000, reward_per_episode = 1489.13428875243
episode - 3/10000, reward_per_episode = 628.9320781770533
episode - 4/10000, reward_per_episode = -1824.9853314525499
episode - 5/10000, reward_per_episode = 436.3023204077494
episode - 6/10000, reward_per_episode = 397.8424229853039
episode - 7/10000, reward_per_episode = -780.5955271127167
episode - 8/10000, reward_per_episode = 3144.6025540807395
episode - 9/10000, reward_per_episode = 2034.0345417794788
episode - 10/10000, reward_per_episode = 4003.0446895057994
episode - 11/10000, reward_per_episode = 36.46847194265797
episode - 12/10000, reward_per_episode = -1223.0223846756796
episode - 13/10000, reward_per_episode = 1135.8222705244125
episode - 14/10000, reward_per_episode = -99.92416833946811
episode - 15/10000, reward_per_episode = 1729.475320511353
episode - 16/10000, reward_per_episode = 731.4938382163688
episode - 17/10000, reward_per_episode = 2244.6591067371446
episode - 18/10000, reward_per_episode = 1625.8912306985294
episode - 19/10000, reward_per_episode = 16.346346959673895
episode - 20/10000, reward_per_episode = 2914.9730262278185
episode - 21/10000, reward_per_episode = 1577.8969386338072
episode - 22/10000, reward_per_episode = 332.5457948143037
episode - 23/10000, reward_per_episode = 1054.1708053510956
episode - 24/10000, reward_per_episode = 23.389335475097596
episode - 25/10000, reward_per_episode = -542.0481073631152
episode - 26/10000, reward_per_episode = 3041.220406843853
episode - 27/10000, reward_per_episode = 2014.0685462319884
episode - 28/10000, reward_per_episode = -145.10493258985443
episode - 29/10000, reward_per_episode = 1337.63963450835
episode - 30/10000, reward_per_episode = -776.219510468112
episode - 31/10000, reward_per_episode = 584.486872379472
episode - 32/10000, reward_per_episode = 513.3135194530847
episode - 33/10000, reward_per_episode = 1784.4085396701212
episode - 34/10000, reward_per_episode = 913.7583537600623
episode - 35/10000, reward_per_episode = -707.7900567302363
episode - 36/10000, reward_per_episode = 2779.9750831715814
episode - 37/10000, reward_per_episode = -592.914635309473
episode - 38/10000, reward_per_episode = -513.3965100827559
episode - 39/10000, reward_per_episode = 1036.9223593595584
episode - 40/10000, reward_per_episode = 199.65159439683532
episode - 41/10000, reward_per_episode = 844.0633765412733
episode - 42/10000, reward_per_episode = 1881.6843151410396
episode - 43/10000, reward_per_episode = -100.47299743723593
episode - 44/10000, reward_per_episode = 2288.677486994047
episode - 45/10000, reward_per_episode = 446.6861086065451
episode - 46/10000, reward_per_episode = 130.81611722939584
episode - 47/10000, reward_per_episode = 3478.3901036684247
episode - 48/10000, reward_per_episode = 135.08553980262457
episode - 49/10000, reward_per_episode = 645.7859958713967
episode - 50/10000, reward_per_episode = 289.361404439065
episode - 51/10000, reward_per_episode = -520.17115348201
episode - 52/10000, reward_per_episode = 1795.4381075743904
episode - 53/10000, reward_per_episode = 1009.9948841313496
episode - 54/10000, reward_per_episode = 35.02104927304967
episode - 55/10000, reward_per_episode = -1098.7094350098764
episode - 56/10000, reward_per_episode = 940.0
episode - 57/10000, reward_per_episode = 51.44240551035918
episode - 58/10000, reward_per_episode = -462.0729318815912
episode - 59/10000, reward_per_episode = -179.7211490758316
episode - 60/10000, reward_per_episode = 965.3916452876773
episode - 61/10000, reward_per_episode = 424.8857801796105
episode - 62/10000, reward_per_episode = -264.2004759541484
episode - 63/10000, reward_per_episode = 245.94605446060828
episode - 64/10000, reward_per_episode = 1517.1679446732726
episode - 65/10000, reward_per_episode = -47.50744544501478
episode - 66/10000, reward_per_episode = 714.1873297649781
episode - 67/10000, reward_per_episode = 234.90479559747803
episode - 68/10000, reward_per_episode = 489.5314985401742
episode - 69/10000, reward_per_episode = 100.0
episode - 70/10000, reward_per_episode = 1034.3438593204867
episode - 71/10000, reward_per_episode = 6.556845375387837
episode - 72/10000, reward_per_episode = 720.3880793309709
episode - 73/10000, reward_per_episode = 246.2257748298549
episode - 74/10000, reward_per_episode = -404.38558103310095
episode - 75/10000, reward_per_episode = 1501.280660286648
episode - 76/10000, reward_per_episode = -127.04208830676578
episode - 77/10000, reward_per_episode = 943.4729772804242
episode - 78/10000, reward_per_episode = 97.70789415219403
episode - 79/10000, reward_per_episode = 636.9353714758728
episode - 80/10000, reward_per_episode = -337.4498747572644
episode - 81/10000, reward_per_episode = -52.76714431983987
episode - 82/10000, reward_per_episode = 988.1652864895459
episode - 83/10000, reward_per_episode = -6.774962552266601
episode - 84/10000, reward_per_episode = 637.8282482192106
episode - 85/10000, reward_per_episode = 428.93495871437426
episode - 86/10000, reward_per_episode = 311.3123812921625
episode - 87/10000, reward_per_episode = 100.0
episode - 88/10000, reward_per_episode = -145.2751892405652
episode - 89/10000, reward_per_episode = 538.3842591584646
episode - 90/10000, reward_per_episode = -564.7960166587991
episode - 91/10000, reward_per_episode = 557.6553561609987
episode - 92/10000, reward_per_episode = 261.47109338432836
episode - 93/10000, reward_per_episode = 1616.2876106728959
episode - 94/10000, reward_per_episode = -1567.2570707592906
episode - 95/10000, reward_per_episode = -29.604156889538814
episode - 96/10000, reward_per_episode = 1350.9244271943198
episode - 97/10000, reward_per_episode = -229.20690993079515
episode - 98/10000, reward_per_episode = -188.82191312447983
episode - 99/10000, reward_per_episode = 551.523722017354
episode - 100/10000, reward_per_episode = 1043.28107388157
episode - 101/10000, reward_per_episode = 573.9792056440481
episode - 102/10000, reward_per_episode = 569.164080852136
episode - 103/10000, reward_per_episode = 120.03771792909205
episode - 104/10000, reward_per_episode = 390.4749078346699
episode - 105/10000, reward_per_episode = 165.0
episode - 106/10000, reward_per_episode = 417.98211214823885
episode - 107/10000, reward_per_episode = 225.0
episode - 108/10000, reward_per_episode = 91.05119917510156
episode - 109/10000, reward_per_episode = -515.0784167061329
episode - 110/10000, reward_per_episode = 1404.2486024049024
episode - 111/10000, reward_per_episode = 469.5630140987
episode - 112/10000, reward_per_episode = 96.20718977236649
episode - 113/10000, reward_per_episode = -111.19249176138732
episode - 114/10000, reward_per_episode = 486.8268877955014
episode - 115/10000, reward_per_episode = -508.9404974665259
episode - 116/10000, reward_per_episode = 289.8687138157909
episode - 117/10000, reward_per_episode = -252.6696566420162
episode - 118/10000, reward_per_episode = -403.23344748828896
episode - 119/10000, reward_per_episode = 660.2180617319334
episode - 120/10000, reward_per_episode = 1943.918554287426
episode - 121/10000, reward_per_episode = -769.4887750171862
