episode - 0/10000, accumulative_reward = 0
episode - 1/10000, accumulative_reward = -4441.591976357482
episode - 2/10000, accumulative_reward = -1697.910520383567
episode - 3/10000, accumulative_reward = -1992.2800743800922
episode - 4/10000, accumulative_reward = -3112.261529123268
episode - 5/10000, accumulative_reward = -3891.6590312734425
episode - 6/10000, accumulative_reward = -5411.749072746759
episode - 7/10000, accumulative_reward = -3466.3945772193442
episode - 8/10000, accumulative_reward = -1289.5935935326956
episode - 9/10000, accumulative_reward = -1826.3006962104732
episode - 10/10000, accumulative_reward = -1621.868009844885
episode - 11/10000, accumulative_reward = -2024.9322827863427
episode - 12/10000, accumulative_reward = -4493.309676043065
episode - 13/10000, accumulative_reward = -4065.1560521391225
episode - 14/10000, accumulative_reward = -3737.5223317893137
episode - 15/10000, accumulative_reward = -4915.767723892392
episode - 16/10000, accumulative_reward = -6405.283212761346
episode - 17/10000, accumulative_reward = -6159.43252904984
episode - 18/10000, accumulative_reward = -5394.194832806614
episode - 19/10000, accumulative_reward = -7064.035137241236
episode - 20/10000, accumulative_reward = -7835.053700645629
episode - 21/10000, accumulative_reward = -9172.207373521713
episode - 22/10000, accumulative_reward = -8043.984187418017
episode - 23/10000, accumulative_reward = -8100.592897909724
episode - 24/10000, accumulative_reward = -10745.82404417539
episode - 25/10000, accumulative_reward = -9849.195180670382
episode - 26/10000, accumulative_reward = -12541.24591639543
episode - 27/10000, accumulative_reward = -12854.185651043597
episode - 28/10000, accumulative_reward = -12296.528598520425
episode - 29/10000, accumulative_reward = -12726.516446001613
episode - 30/10000, accumulative_reward = -12854.974939466485
episode - 31/10000, accumulative_reward = -13911.151770061333
episode - 32/10000, accumulative_reward = -16651.884516338734
episode - 33/10000, accumulative_reward = -16415.259996879235
episode - 34/10000, accumulative_reward = -16205.558554809211
episode - 35/10000, accumulative_reward = -15077.594591234094
episode - 36/10000, accumulative_reward = -15543.372612687774
episode - 37/10000, accumulative_reward = -15734.627332227426
episode - 38/10000, accumulative_reward = -15855.035928465186
episode - 39/10000, accumulative_reward = -18015.362892948986
episode - 40/10000, accumulative_reward = -17198.79984979145
episode - 41/10000, accumulative_reward = -18125.342004621256
episode - 42/10000, accumulative_reward = -18852.06356325285
episode - 43/10000, accumulative_reward = -19096.419456314714
episode - 44/10000, accumulative_reward = -19859.571509307345
episode - 45/10000, accumulative_reward = -18705.64510586772
episode - 46/10000, accumulative_reward = -19597.128650999734
episode - 47/10000, accumulative_reward = -19698.717272203186
episode - 48/10000, accumulative_reward = -20429.327141467045
episode - 49/10000, accumulative_reward = -22503.916903649362
episode - 50/10000, accumulative_reward = -23399.891893407366
episode - 51/10000, accumulative_reward = -22234.326818684698
episode - 52/10000, accumulative_reward = -22869.982701744342
episode - 53/10000, accumulative_reward = -24020.460805569055
episode - 54/10000, accumulative_reward = -25485.59569002496
episode - 55/10000, accumulative_reward = -24649.07147560252
episode - 56/10000, accumulative_reward = -24588.98200971372
episode - 57/10000, accumulative_reward = -25062.77045394028
episode - 58/10000, accumulative_reward = -25831.453883679984
episode - 59/10000, accumulative_reward = -26458.246697603794
episode - 60/10000, accumulative_reward = -28310.945495965687
episode - 61/10000, accumulative_reward = -26673.807139567405
episode - 62/10000, accumulative_reward = -26812.583689603114
episode - 63/10000, accumulative_reward = -28503.00042227922
episode - 64/10000, accumulative_reward = -27923.58346465178
episode - 65/10000, accumulative_reward = -29742.39053183225
episode - 66/10000, accumulative_reward = -29218.282754272084
episode - 67/10000, accumulative_reward = -29420.516742807595
episode - 68/10000, accumulative_reward = -29740.384037969045
episode - 69/10000, accumulative_reward = -30487.276367912622
episode - 70/10000, accumulative_reward = -30792.264625795215
episode - 71/10000, accumulative_reward = -30962.55140235731
episode - 72/10000, accumulative_reward = -31110.240839795544
episode - 73/10000, accumulative_reward = -33085.83022050966
episode - 74/10000, accumulative_reward = -32831.78960098728
episode - 75/10000, accumulative_reward = -32999.411792725
episode - 76/10000, accumulative_reward = -33152.65435864349
episode - 77/10000, accumulative_reward = -33452.85622005761
episode - 78/10000, accumulative_reward = -33728.0463170569
episode - 79/10000, accumulative_reward = -34989.66175656489
episode - 80/10000, accumulative_reward = -34661.416912754765
episode - 81/10000, accumulative_reward = -34629.19624173639
episode - 82/10000, accumulative_reward = -34875.86376591537
episode - 83/10000, accumulative_reward = -35100.02011381044
episode - 84/10000, accumulative_reward = -35270.30689037253
episode - 85/10000, accumulative_reward = -35609.70099050933
episode - 86/10000, accumulative_reward = -35716.53311995003
episode - 87/10000, accumulative_reward = -35967.635177710086
episode - 88/10000, accumulative_reward = -35165.234977066924
episode - 89/10000, accumulative_reward = -35625.234977066924
episode - 90/10000, accumulative_reward = -36263.860484031844
episode - 91/10000, accumulative_reward = -36705.27126367638
episode - 92/10000, accumulative_reward = -36860.58289285233
episode - 93/10000, accumulative_reward = -37103.09411916031
episode - 94/10000, accumulative_reward = -37217.65721895699
episode - 95/10000, accumulative_reward = -37711.45395319072
episode - 96/10000, accumulative_reward = -38958.45832656943
episode - 97/10000, accumulative_reward = -39201.08051830715
episode - 98/10000, accumulative_reward = -41346.94161367371
episode - 99/10000, accumulative_reward = -39448.09465793995
episode - 100/10000, accumulative_reward = -38310.539347891056
episode - 101/10000, accumulative_reward = -40544.13705763221
episode - 102/10000, accumulative_reward = -38501.43464089735
episode - 103/10000, accumulative_reward = -37548.110425267725
episode - 104/10000, accumulative_reward = -37631.83349654943
episode - 105/10000, accumulative_reward = -38013.4742492622
episode - 106/10000, accumulative_reward = -39679.02344775527
episode - 107/10000, accumulative_reward = -38838.04711843925
episode - 108/10000, accumulative_reward = -39607.82958031383
episode - 109/10000, accumulative_reward = -39673.565066361065
episode - 110/10000, accumulative_reward = -41989.620735115124
episode - 111/10000, accumulative_reward = -40358.48628177633
episode - 112/10000, accumulative_reward = -41279.65793429849
episode - 113/10000, accumulative_reward = -39538.095439192824
episode - 114/10000, accumulative_reward = -38718.24088082741
episode - 115/10000, accumulative_reward = -39479.18284387024
episode - 116/10000, accumulative_reward = -41165.997802257494
episode - 117/10000, accumulative_reward = -41095.08426554856
episode - 118/10000, accumulative_reward = -41341.25250605382
episode - 119/10000, accumulative_reward = -43040.961942433365
episode - 120/10000, accumulative_reward = -43311.06634230391
episode - 121/10000, accumulative_reward = -43367.13681855496
episode - 122/10000, accumulative_reward = -43514.82625599319
episode - 123/10000, accumulative_reward = -43674.82625599319
episode - 124/10000, accumulative_reward = -43834.82625599319
episode - 125/10000, accumulative_reward = -44004.22514302754
episode - 126/10000, accumulative_reward = -44356.29987109569
episode - 127/10000, accumulative_reward = -44469.08627559573
episode - 128/10000, accumulative_reward = -47044.07131699429
episode - 129/10000, accumulative_reward = -47031.65583561727
episode - 130/10000, accumulative_reward = -46368.040464070706
episode - 131/10000, accumulative_reward = -49077.58900072859
episode - 132/10000, accumulative_reward = -48610.24190431932
episode - 133/10000, accumulative_reward = -47962.76898514039
episode - 134/10000, accumulative_reward = -48122.76898514039
episode - 135/10000, accumulative_reward = -48292.167872174745
episode - 136/10000, accumulative_reward = -48439.85730961298
episode - 137/10000, accumulative_reward = -48684.25619664733
episode - 138/10000, accumulative_reward = -48831.94563408556
episode - 139/10000, accumulative_reward = -49126.344521119914
episode - 140/10000, accumulative_reward = -49274.033958558146
episode - 141/10000, accumulative_reward = -49464.58708703841
episode - 142/10000, accumulative_reward = -49588.076084762346
episode - 143/10000, accumulative_reward = -51317.609757097525
episode - 144/10000, accumulative_reward = -50805.91192941718
episode - 145/10000, accumulative_reward = -50955.37806215206
episode - 146/10000, accumulative_reward = -52550.30640262769
episode - 147/10000, accumulative_reward = -52270.380757411585
episode - 148/10000, accumulative_reward = -54268.561287978395
episode - 149/10000, accumulative_reward = -55970.18688975588
episode - 150/10000, accumulative_reward = -53650.11765083939
episode - 151/10000, accumulative_reward = -53608.57091975034
episode - 152/10000, accumulative_reward = -55332.16808741022
episode - 153/10000, accumulative_reward = -54968.552715863654
episode - 154/10000, accumulative_reward = -55449.59028544242
episode - 155/10000, accumulative_reward = -55608.19548280519
episode - 156/10000, accumulative_reward = -55832.35183070026
episode - 157/10000, accumulative_reward = -55980.04126813849
episode - 158/10000, accumulative_reward = -56149.440155172844
episode - 159/10000, accumulative_reward = -56369.21532452458
episode - 160/10000, accumulative_reward = -56435.615631488836
episode - 161/10000, accumulative_reward = -56856.96029955475
episode - 162/10000, accumulative_reward = -56923.360606519
episode - 163/10000, accumulative_reward = -56962.19488005318
episode - 164/10000, accumulative_reward = -57102.81733390391
episode - 165/10000, accumulative_reward = -57334.90306581741
episode - 166/10000, accumulative_reward = -57401.303372781666
episode - 167/10000, accumulative_reward = -57432.31613126824
episode - 168/10000, accumulative_reward = -57516.485596288105
episode - 169/10000, accumulative_reward = -57694.245297209796
episode - 170/10000, accumulative_reward = -57926.33102912329
episode - 171/10000, accumulative_reward = -57992.73133608755
episode - 172/10000, accumulative_reward = -58059.131643051805
episode - 173/10000, accumulative_reward = -58097.965916585985
episode - 174/10000, accumulative_reward = -58230.05164849948
episode - 175/10000, accumulative_reward = -58273.23836316748
episode - 176/10000, accumulative_reward = -58405.32409508098
episode - 177/10000, accumulative_reward = -58471.724402045234
episode - 178/10000, accumulative_reward = -58538.12470900949
episode - 179/10000, accumulative_reward = -58532.43928406025
episode - 180/10000, accumulative_reward = -58701.838171094605
episode - 181/10000, accumulative_reward = -59068.37232725196
episode - 182/10000, accumulative_reward = -59402.01450287292
episode - 183/10000, accumulative_reward = -59396.32907792368
episode - 184/10000, accumulative_reward = -59685.94645598463
episode - 185/10000, accumulative_reward = -60182.144093123374
episode - 186/10000, accumulative_reward = -60529.56633432202
episode - 187/10000, accumulative_reward = -60743.41209287611
episode - 188/10000, accumulative_reward = -60957.2578514302
episode - 189/10000, accumulative_reward = -61126.65673846455
episode - 190/10000, accumulative_reward = -61283.74506293714
episode - 191/10000, accumulative_reward = -61440.83338740972
episode - 192/10000, accumulative_reward = -61669.24191844125
episode - 193/10000, accumulative_reward = -60775.06521894929
episode - 194/10000, accumulative_reward = -61000.9128886848
episode - 195/10000, accumulative_reward = -61787.68958398143
episode - 196/10000, accumulative_reward = -62302.83628787933
episode - 197/10000, accumulative_reward = -62459.92461235191
episode - 198/10000, accumulative_reward = -62715.49173989152
episode - 199/10000, accumulative_reward = -62691.728244401245
episode - 200/10000, accumulative_reward = -62751.22518007632
episode - 201/10000, accumulative_reward = -63275.27451097204
episode - 202/10000, accumulative_reward = -63868.15220107342
episode - 203/10000, accumulative_reward = -64037.55108810777
episode - 204/10000, accumulative_reward = -64194.639412580356
episode - 205/10000, accumulative_reward = -64571.03804009314
episode - 206/10000, accumulative_reward = -64763.6050026591
episode - 207/10000, accumulative_reward = -64633.00388969345
episode - 208/10000, accumulative_reward = -64863.48148398243
episode - 209/10000, accumulative_reward = -64565.99493135013
episode - 210/10000, accumulative_reward = -64941.6655545709
episode - 211/10000, accumulative_reward = -65197.23268211051
episode - 212/10000, accumulative_reward = -65354.32100658309
episode - 213/10000, accumulative_reward = -65511.40933105568
episode - 214/10000, accumulative_reward = -65738.35095163037
episode - 215/10000, accumulative_reward = -67072.73247516259
episode - 216/10000, accumulative_reward = -67009.67583016327
episode - 217/10000, accumulative_reward = -67166.76415463585
episode - 218/10000, accumulative_reward = -67323.85247910843
episode - 219/10000, accumulative_reward = -67473.31861184331
episode - 220/10000, accumulative_reward = -67858.31861184331
episode - 221/10000, accumulative_reward = -68027.71749887767
episode - 222/10000, accumulative_reward = -68184.80582335025
episode - 223/10000, accumulative_reward = -68341.89414782284
episode - 224/10000, accumulative_reward = -68475.10598717816
episode - 225/10000, accumulative_reward = -68089.75158612724
episode - 226/10000, accumulative_reward = -67950.26699667842
episode - 227/10000, accumulative_reward = -68107.355321151
episode - 228/10000, accumulative_reward = -68264.44364562359
episode - 229/10000, accumulative_reward = -68421.53197009617
episode - 230/10000, accumulative_reward = -68941.08948041782
episode - 231/10000, accumulative_reward = -68974.6127419671
episode - 232/10000, accumulative_reward = -68926.33648893728
episode - 233/10000, accumulative_reward = -69095.73537597164
episode - 234/10000, accumulative_reward = -69252.82370044422
episode - 235/10000, accumulative_reward = -69409.9120249168
episode - 236/10000, accumulative_reward = -69567.00034938939
episode - 237/10000, accumulative_reward = -69714.68978682763
episode - 238/10000, accumulative_reward = -69884.08867386199
episode - 239/10000, accumulative_reward = -70041.17699833457
episode - 240/10000, accumulative_reward = -70198.26532280716
episode - 241/10000, accumulative_reward = -70355.35364727974
episode - 242/10000, accumulative_reward = -70703.43007055456
episode - 243/10000, accumulative_reward = -71021.74092200855
episode - 244/10000, accumulative_reward = -71270.68436014018
episode - 245/10000, accumulative_reward = -71427.77268461276
episode - 246/10000, accumulative_reward = -71584.86100908535
episode - 247/10000, accumulative_reward = -71840.42813662496
episode - 248/10000, accumulative_reward = -71995.4473978401
episode - 249/10000, accumulative_reward = -71164.93021884923
episode - 250/10000, accumulative_reward = -71632.26004262613
episode - 251/10000, accumulative_reward = -72007.80101897464
episode - 252/10000, accumulative_reward = -72162.82028018977
episode - 253/10000, accumulative_reward = -72411.47380416615
episode - 254/10000, accumulative_reward = -72245.85895504044
episode - 255/10000, accumulative_reward = -72588.94955490525
episode - 256/10000, accumulative_reward = -72758.34844193961
episode - 257/10000, accumulative_reward = -72915.4367664122
episode - 258/10000, accumulative_reward = -73070.74839558815
episode - 259/10000, accumulative_reward = -73218.43783302639
episode - 260/10000, accumulative_reward = -73387.83672006075
episode - 261/10000, accumulative_reward = -73544.92504453333
episode - 262/10000, accumulative_reward = -73702.01336900592
episode - 263/10000, accumulative_reward = -73849.70280644415
episode - 264/10000, accumulative_reward = -74011.47950174079
episode - 265/10000, accumulative_reward = -74180.87838877515
episode - 266/10000, accumulative_reward = -74337.96671324773
episode - 267/10000, accumulative_reward = -74495.05503772032
episode - 268/10000, accumulative_reward = -74581.66373252089
episode - 269/10000, accumulative_reward = -74738.75205699347
episode - 270/10000, accumulative_reward = -74994.31918453309
episode - 271/10000, accumulative_reward = -75151.40750900567
episode - 272/10000, accumulative_reward = -75374.26291155693
episode - 273/10000, accumulative_reward = -75279.50666855289
episode - 274/10000, accumulative_reward = -76070.8464636462
episode - 275/10000, accumulative_reward = -76230.8464636462
episode - 276/10000, accumulative_reward = -76400.24535068056
episode - 277/10000, accumulative_reward = -76555.55697985651
episode - 278/10000, accumulative_reward = -76709.56766368866
episode - 279/10000, accumulative_reward = -76878.96655072302
episode - 280/10000, accumulative_reward = -77036.05487519561
episode - 281/10000, accumulative_reward = -77193.1431996682
episode - 282/10000, accumulative_reward = -77342.60933240307
episode - 283/10000, accumulative_reward = -77512.00821943743
episode - 284/10000, accumulative_reward = -77886.24825044212
episode - 285/10000, accumulative_reward = -78055.64713747648
episode - 286/10000, accumulative_reward = -78203.33657491472
episode - 287/10000, accumulative_reward = -78372.73546194908
episode - 288/10000, accumulative_reward = -78520.42489938732
episode - 289/10000, accumulative_reward = -78689.82378642168
episode - 290/10000, accumulative_reward = -79189.06381742637
episode - 291/10000, accumulative_reward = -79444.63094496599
episode - 292/10000, accumulative_reward = -79601.71926943857
episode - 293/10000, accumulative_reward = -79758.80759391116
episode - 294/10000, accumulative_reward = -80014.37472145077
episode - 295/10000, accumulative_reward = -80171.46304592336
episode - 296/10000, accumulative_reward = -80328.55137039594
episode - 297/10000, accumulative_reward = -79244.68448439462
episode - 298/10000, accumulative_reward = -80029.8924092339
episode - 299/10000, accumulative_reward = -80589.29579793094
episode - 300/10000, accumulative_reward = -81080.7426314853
episode - 301/10000, accumulative_reward = -81237.83095595788
episode - 302/10000, accumulative_reward = -81440.06494449338
episode - 303/10000, accumulative_reward = -81587.75438193162
episode - 304/10000, accumulative_reward = -81747.75438193162
