episode - 0/10000, loss = 156066.078125
episode - 1/10000, loss = 3381.186279296875
episode - 2/10000, loss = 3368.002685546875
episode - 3/10000, loss = 22445.001953125
episode - 4/10000, loss = 20350.26171875
episode - 5/10000, loss = 252954.9375
episode - 6/10000, loss = 38828.3125
episode - 7/10000, loss = 55527.57421875
episode - 8/10000, loss = 809.8147583007812
episode - 9/10000, loss = 30763.99609375
episode - 10/10000, loss = 3371.77587890625
episode - 11/10000, loss = 16950.91015625
episode - 12/10000, loss = 6594.8408203125
episode - 13/10000, loss = 29764.021484375
episode - 14/10000, loss = 24786.783203125
episode - 15/10000, loss = 8266.90234375
episode - 16/10000, loss = 2023.8026123046875
episode - 17/10000, loss = 5368.0107421875
episode - 18/10000, loss = 30.79610252380371
episode - 19/10000, loss = 68.77143096923828
episode - 20/10000, loss = 10197.7666015625
episode - 21/10000, loss = 8.562272071838379
episode - 22/10000, loss = 54282.8203125
episode - 23/10000, loss = 1854.6092529296875
episode - 24/10000, loss = 11899.8115234375
episode - 25/10000, loss = 1953.3922119140625
episode - 26/10000, loss = 23258.4140625
episode - 27/10000, loss = 8126.3916015625
episode - 28/10000, loss = 2422.65087890625
episode - 29/10000, loss = 44749.9375
episode - 30/10000, loss = 26881.267578125
episode - 31/10000, loss = 3177.434326171875
episode - 32/10000, loss = 1760.389892578125
episode - 33/10000, loss = 1445.4288330078125
episode - 34/10000, loss = 628.319091796875
episode - 35/10000, loss = 351.2859802246094
episode - 36/10000, loss = 410.92596435546875
episode - 37/10000, loss = 2867.96533203125
episode - 38/10000, loss = 1387.806396484375
episode - 39/10000, loss = 1620.797119140625
episode - 40/10000, loss = 22416.5859375
episode - 41/10000, loss = 2708.354736328125
episode - 42/10000, loss = 50.81024932861328
episode - 43/10000, loss = 1718.145263671875
episode - 44/10000, loss = 2622.275634765625
episode - 45/10000, loss = 10305.90234375
episode - 46/10000, loss = 1744.7593994140625
episode - 47/10000, loss = 8069.06591796875
episode - 48/10000, loss = 3141.39453125
episode - 49/10000, loss = 4275.11181640625
episode - 50/10000, loss = 6029.521484375
episode - 51/10000, loss = 7349.66357421875
episode - 52/10000, loss = 2959.900634765625
episode - 53/10000, loss = 9.697615623474121
episode - 54/10000, loss = 50.34227752685547
episode - 55/10000, loss = 567.09619140625
episode - 56/10000, loss = 5335.9560546875
episode - 57/10000, loss = 4332.1318359375
episode - 58/10000, loss = 3722.406005859375
episode - 59/10000, loss = 502.7532958984375
episode - 60/10000, loss = 59.20195388793945
episode - 61/10000, loss = 1773.3193359375
episode - 62/10000, loss = 7153.05419921875
episode - 63/10000, loss = 7793.27587890625
episode - 64/10000, loss = 564.8067626953125
episode - 65/10000, loss = 7435.30029296875
episode - 66/10000, loss = 2744.833984375
episode - 67/10000, loss = 10429.37109375
episode - 68/10000, loss = 4059.900634765625
episode - 69/10000, loss = 16768.62109375
episode - 70/10000, loss = 11472.509765625
episode - 71/10000, loss = 31907.5234375
episode - 72/10000, loss = 28.48200035095215
episode - 73/10000, loss = 4997.05712890625
episode - 74/10000, loss = 6978.88720703125
episode - 75/10000, loss = 19945.662109375
episode - 76/10000, loss = 1915.9134521484375
episode - 77/10000, loss = 1872.6392822265625
episode - 78/10000, loss = 6726.95556640625
