episode - 0/1000, reward_per_episode = 0
episode - 1/1000, reward_per_episode = 564.1879822840262
episode - 2/1000, reward_per_episode = -140.90399656751373
episode - 3/1000, reward_per_episode = 835.1068128132081
episode - 4/1000, reward_per_episode = 1192.7138719457444
episode - 5/1000, reward_per_episode = -870.959431050361
episode - 6/1000, reward_per_episode = -2622.5547814628935
episode - 7/1000, reward_per_episode = 2994.555939315036
episode - 8/1000, reward_per_episode = 1431.6752681588412
episode - 9/1000, reward_per_episode = -606.8382647538675
episode - 10/1000, reward_per_episode = 909.5724514879204
episode - 11/1000, reward_per_episode = 382.1753785747226
episode - 12/1000, reward_per_episode = 173.5693136093213
episode - 13/1000, reward_per_episode = -690.1022891540672
episode - 14/1000, reward_per_episode = 990.6718535078992
episode - 15/1000, reward_per_episode = 844.4163547009865
episode - 16/1000, reward_per_episode = -214.4419860473223
episode - 17/1000, reward_per_episode = 2038.806757267708
episode - 18/1000, reward_per_episode = 631.2819929271648
episode - 19/1000, reward_per_episode = 730.7200412979759
episode - 20/1000, reward_per_episode = 53.663671335297636
episode - 21/1000, reward_per_episode = 2158.696140035808
episode - 22/1000, reward_per_episode = -748.35655972843
episode - 23/1000, reward_per_episode = 2471.1338037865944
episode - 24/1000, reward_per_episode = 1689.9381201509782
episode - 25/1000, reward_per_episode = 2908.1051316482
episode - 26/1000, reward_per_episode = 893.2254451220588
episode - 27/1000, reward_per_episode = -403.3521371736206
episode - 28/1000, reward_per_episode = 5113.206162312911
episode - 29/1000, reward_per_episode = 157.0762173655213
episode - 30/1000, reward_per_episode = 4745.547031229148
episode - 31/1000, reward_per_episode = -288.36475954470876
episode - 32/1000, reward_per_episode = 2115.9825556912974
episode - 33/1000, reward_per_episode = -699.1088184092039
episode - 34/1000, reward_per_episode = 90.48167506265617
episode - 35/1000, reward_per_episode = 2606.861485311628
episode - 36/1000, reward_per_episode = 835.9593198811418
episode - 37/1000, reward_per_episode = 671.8645549553613
episode - 38/1000, reward_per_episode = 1627.9264087123645
episode - 39/1000, reward_per_episode = 1387.9350981869914
episode - 40/1000, reward_per_episode = 1340.666523389347
