episode - 0/100, accumulative_reward = 0
episode - 1/100, accumulative_reward = -150
episode - 2/100, accumulative_reward = 140
episode - 3/100, accumulative_reward = -60
episode - 4/100, accumulative_reward = 260
episode - 5/100, accumulative_reward = 700
episode - 6/100, accumulative_reward = 980
episode - 7/100, accumulative_reward = 1500
episode - 8/100, accumulative_reward = 1840
episode - 9/100, accumulative_reward = 2700
episode - 10/100, accumulative_reward = 2930
episode - 11/100, accumulative_reward = 3280
episode - 12/100, accumulative_reward = 3700
episode - 13/100, accumulative_reward = 4600
episode - 14/100, accumulative_reward = 4750
episode - 15/100, accumulative_reward = 5400
episode - 16/100, accumulative_reward = 5960
episode - 17/100, accumulative_reward = 6890
episode - 18/100, accumulative_reward = 7570
episode - 19/100, accumulative_reward = 8710
episode - 20/100, accumulative_reward = 9640
episode - 21/100, accumulative_reward = 10550
episode - 22/100, accumulative_reward = 10360
episode - 23/100, accumulative_reward = 10530
episode - 24/100, accumulative_reward = 9980
episode - 25/100, accumulative_reward = 9790
episode - 26/100, accumulative_reward = 9720
episode - 27/100, accumulative_reward = 8990
episode - 28/100, accumulative_reward = 8580
episode - 29/100, accumulative_reward = 8170
episode - 30/100, accumulative_reward = 8560
episode - 31/100, accumulative_reward = 8580
episode - 32/100, accumulative_reward = 9170
episode - 33/100, accumulative_reward = 9060
episode - 34/100, accumulative_reward = 8810
episode - 35/100, accumulative_reward = 8940
episode - 36/100, accumulative_reward = 9430
episode - 37/100, accumulative_reward = 10590
episode - 38/100, accumulative_reward = 11580
episode - 39/100, accumulative_reward = 12550
episode - 40/100, accumulative_reward = 13120
episode - 41/100, accumulative_reward = 14090
episode - 42/100, accumulative_reward = 14990
episode - 43/100, accumulative_reward = 15310
episode - 44/100, accumulative_reward = 16210
episode - 45/100, accumulative_reward = 17110
episode - 46/100, accumulative_reward = 17440
episode - 47/100, accumulative_reward = 18450
episode - 48/100, accumulative_reward = 19350
episode - 49/100, accumulative_reward = 20250
episode - 50/100, accumulative_reward = 21150
episode - 51/100, accumulative_reward = 20960
episode - 52/100, accumulative_reward = 20330
episode - 53/100, accumulative_reward = 19700
episode - 54/100, accumulative_reward = 19070
episode - 55/100, accumulative_reward = 18440
episode - 56/100, accumulative_reward = 18580
episode - 57/100, accumulative_reward = 19900
episode - 58/100, accumulative_reward = 20510
episode - 59/100, accumulative_reward = 21830
episode - 60/100, accumulative_reward = 23150
episode - 61/100, accumulative_reward = 24360
episode - 62/100, accumulative_reward = 25680
episode - 63/100, accumulative_reward = 26640
episode - 64/100, accumulative_reward = 27960
episode - 65/100, accumulative_reward = 29170
episode - 66/100, accumulative_reward = 29540
episode - 67/100, accumulative_reward = 30750
episode - 68/100, accumulative_reward = 31850
episode - 69/100, accumulative_reward = 32600
episode - 70/100, accumulative_reward = 33170
episode - 71/100, accumulative_reward = 32940
episode - 72/100, accumulative_reward = 33890
episode - 73/100, accumulative_reward = 35210
episode - 74/100, accumulative_reward = 36560
episode - 75/100, accumulative_reward = 37460
episode - 76/100, accumulative_reward = 38360
episode - 77/100, accumulative_reward = 39260
episode - 78/100, accumulative_reward = 40160
episode - 79/100, accumulative_reward = 41060
episode - 80/100, accumulative_reward = 41960
episode - 81/100, accumulative_reward = 42860
episode - 82/100, accumulative_reward = 43760
episode - 83/100, accumulative_reward = 44660
episode - 84/100, accumulative_reward = 44870
episode - 85/100, accumulative_reward = 45880
episode - 86/100, accumulative_reward = 46780
episode - 87/100, accumulative_reward = 47680
episode - 88/100, accumulative_reward = 48580
episode - 89/100, accumulative_reward = 49480
episode - 90/100, accumulative_reward = 50380
episode - 91/100, accumulative_reward = 51280
episode - 92/100, accumulative_reward = 52180
episode - 93/100, accumulative_reward = 53080
episode - 94/100, accumulative_reward = 54050
episode - 95/100, accumulative_reward = 54820
episode - 96/100, accumulative_reward = 54690
episode - 97/100, accumulative_reward = 54780
episode - 98/100, accumulative_reward = 54230
episode - 99/100, accumulative_reward = 54650
