episode - 0/100, reward_per_episode = 0
episode - 1/100, reward_per_episode = -150
episode - 2/100, reward_per_episode = 290
episode - 3/100, reward_per_episode = -200
episode - 4/100, reward_per_episode = 320
episode - 5/100, reward_per_episode = 440
episode - 6/100, reward_per_episode = 280
episode - 7/100, reward_per_episode = 520
episode - 8/100, reward_per_episode = 340
episode - 9/100, reward_per_episode = 860
episode - 10/100, reward_per_episode = 230
episode - 11/100, reward_per_episode = 350
episode - 12/100, reward_per_episode = 420
episode - 13/100, reward_per_episode = 900
episode - 14/100, reward_per_episode = 150
episode - 15/100, reward_per_episode = 650
episode - 16/100, reward_per_episode = 560
episode - 17/100, reward_per_episode = 930
episode - 18/100, reward_per_episode = 680
episode - 19/100, reward_per_episode = 1140
episode - 20/100, reward_per_episode = 930
episode - 21/100, reward_per_episode = 910
episode - 22/100, reward_per_episode = -190
episode - 23/100, reward_per_episode = 170
episode - 24/100, reward_per_episode = -550
episode - 25/100, reward_per_episode = -190
episode - 26/100, reward_per_episode = -70
episode - 27/100, reward_per_episode = -730
episode - 28/100, reward_per_episode = -410
episode - 29/100, reward_per_episode = -410
episode - 30/100, reward_per_episode = 390
episode - 31/100, reward_per_episode = 20
episode - 32/100, reward_per_episode = 590
episode - 33/100, reward_per_episode = -110
episode - 34/100, reward_per_episode = -250
episode - 35/100, reward_per_episode = 130
episode - 36/100, reward_per_episode = 490
episode - 37/100, reward_per_episode = 1160
episode - 38/100, reward_per_episode = 990
episode - 39/100, reward_per_episode = 970
episode - 40/100, reward_per_episode = 570
episode - 41/100, reward_per_episode = 970
episode - 42/100, reward_per_episode = 900
episode - 43/100, reward_per_episode = 320
episode - 44/100, reward_per_episode = 900
episode - 45/100, reward_per_episode = 900
episode - 46/100, reward_per_episode = 330
episode - 47/100, reward_per_episode = 1010
episode - 48/100, reward_per_episode = 900
episode - 49/100, reward_per_episode = 900
episode - 50/100, reward_per_episode = 900
episode - 51/100, reward_per_episode = -190
episode - 52/100, reward_per_episode = -630
episode - 53/100, reward_per_episode = -630
episode - 54/100, reward_per_episode = -630
episode - 55/100, reward_per_episode = -630
episode - 56/100, reward_per_episode = 140
episode - 57/100, reward_per_episode = 1320
episode - 58/100, reward_per_episode = 610
episode - 59/100, reward_per_episode = 1320
episode - 60/100, reward_per_episode = 1320
episode - 61/100, reward_per_episode = 1210
episode - 62/100, reward_per_episode = 1320
episode - 63/100, reward_per_episode = 960
episode - 64/100, reward_per_episode = 1320
episode - 65/100, reward_per_episode = 1210
episode - 66/100, reward_per_episode = 370
episode - 67/100, reward_per_episode = 1210
episode - 68/100, reward_per_episode = 1100
episode - 69/100, reward_per_episode = 750
episode - 70/100, reward_per_episode = 570
episode - 71/100, reward_per_episode = -230
episode - 72/100, reward_per_episode = 950
episode - 73/100, reward_per_episode = 1320
episode - 74/100, reward_per_episode = 1350
episode - 75/100, reward_per_episode = 900
episode - 76/100, reward_per_episode = 900
episode - 77/100, reward_per_episode = 900
episode - 78/100, reward_per_episode = 900
episode - 79/100, reward_per_episode = 900
episode - 80/100, reward_per_episode = 900
episode - 81/100, reward_per_episode = 900
episode - 82/100, reward_per_episode = 900
episode - 83/100, reward_per_episode = 900
episode - 84/100, reward_per_episode = 210
episode - 85/100, reward_per_episode = 1010
episode - 86/100, reward_per_episode = 900
episode - 87/100, reward_per_episode = 900
episode - 88/100, reward_per_episode = 900
episode - 89/100, reward_per_episode = 900
episode - 90/100, reward_per_episode = 900
episode - 91/100, reward_per_episode = 900
episode - 92/100, reward_per_episode = 900
episode - 93/100, reward_per_episode = 900
episode - 94/100, reward_per_episode = 970
episode - 95/100, reward_per_episode = 770
episode - 96/100, reward_per_episode = -130
episode - 97/100, reward_per_episode = 90
episode - 98/100, reward_per_episode = -550
episode - 99/100, reward_per_episode = 420
