episode - 0/100, steps_per_episode = 16
episode - 1/100, steps_per_episode = 16
episode - 2/100, steps_per_episode = 16
episode - 3/100, steps_per_episode = 16
episode - 4/100, steps_per_episode = 16
episode - 5/100, steps_per_episode = 16
episode - 6/100, steps_per_episode = 16
episode - 7/100, steps_per_episode = 16
episode - 8/100, steps_per_episode = 16
episode - 9/100, steps_per_episode = 16
episode - 10/100, steps_per_episode = 16
episode - 11/100, steps_per_episode = 16
episode - 12/100, steps_per_episode = 8
episode - 13/100, steps_per_episode = 16
episode - 14/100, steps_per_episode = 16
episode - 15/100, steps_per_episode = 16
episode - 16/100, steps_per_episode = 9
episode - 17/100, steps_per_episode = 16
episode - 18/100, steps_per_episode = 12
episode - 19/100, steps_per_episode = 9
episode - 20/100, steps_per_episode = 13
episode - 21/100, steps_per_episode = 16
episode - 22/100, steps_per_episode = 16
episode - 23/100, steps_per_episode = 16
episode - 24/100, steps_per_episode = 16
episode - 25/100, steps_per_episode = 16
episode - 26/100, steps_per_episode = 16
episode - 27/100, steps_per_episode = 16
episode - 28/100, steps_per_episode = 16
episode - 29/100, steps_per_episode = 16
episode - 30/100, steps_per_episode = 16
episode - 31/100, steps_per_episode = 16
episode - 32/100, steps_per_episode = 16
episode - 33/100, steps_per_episode = 16
episode - 34/100, steps_per_episode = 16
episode - 35/100, steps_per_episode = 16
episode - 36/100, steps_per_episode = 10
episode - 37/100, steps_per_episode = 11
episode - 38/100, steps_per_episode = 16
episode - 39/100, steps_per_episode = 16
episode - 40/100, steps_per_episode = 16
episode - 41/100, steps_per_episode = 8
episode - 42/100, steps_per_episode = 16
episode - 43/100, steps_per_episode = 8
episode - 44/100, steps_per_episode = 8
episode - 45/100, steps_per_episode = 16
episode - 46/100, steps_per_episode = 8
episode - 47/100, steps_per_episode = 8
episode - 48/100, steps_per_episode = 8
episode - 49/100, steps_per_episode = 8
episode - 50/100, steps_per_episode = 16
episode - 51/100, steps_per_episode = 16
episode - 52/100, steps_per_episode = 16
episode - 53/100, steps_per_episode = 16
episode - 54/100, steps_per_episode = 16
episode - 55/100, steps_per_episode = 16
episode - 56/100, steps_per_episode = 16
episode - 57/100, steps_per_episode = 16
episode - 58/100, steps_per_episode = 16
episode - 59/100, steps_per_episode = 16
episode - 60/100, steps_per_episode = 16
episode - 61/100, steps_per_episode = 16
episode - 62/100, steps_per_episode = 16
episode - 63/100, steps_per_episode = 16
episode - 64/100, steps_per_episode = 16
episode - 65/100, steps_per_episode = 16
episode - 66/100, steps_per_episode = 16
episode - 67/100, steps_per_episode = 16
episode - 68/100, steps_per_episode = 16
episode - 69/100, steps_per_episode = 16
episode - 70/100, steps_per_episode = 16
episode - 71/100, steps_per_episode = 16
episode - 72/100, steps_per_episode = 16
episode - 73/100, steps_per_episode = 14
episode - 74/100, steps_per_episode = 8
episode - 75/100, steps_per_episode = 8
episode - 76/100, steps_per_episode = 8
episode - 77/100, steps_per_episode = 8
episode - 78/100, steps_per_episode = 8
episode - 79/100, steps_per_episode = 8
episode - 80/100, steps_per_episode = 8
episode - 81/100, steps_per_episode = 8
episode - 82/100, steps_per_episode = 8
episode - 83/100, steps_per_episode = 16
episode - 84/100, steps_per_episode = 8
episode - 85/100, steps_per_episode = 8
episode - 86/100, steps_per_episode = 8
episode - 87/100, steps_per_episode = 8
episode - 88/100, steps_per_episode = 8
episode - 89/100, steps_per_episode = 8
episode - 90/100, steps_per_episode = 8
episode - 91/100, steps_per_episode = 8
episode - 92/100, steps_per_episode = 8
episode - 93/100, steps_per_episode = 16
episode - 94/100, steps_per_episode = 16
episode - 95/100, steps_per_episode = 16
episode - 96/100, steps_per_episode = 16
episode - 97/100, steps_per_episode = 16
episode - 98/100, steps_per_episode = 16
episode - 99/100, steps_per_episode = 8
